Response,Interaction,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
Elongasi,CMC × PVA,1_1,1_2,36.6481,0.767,-35.5686,108.8649,False
Elongasi,CMC × PVA,1_1,1_3,218.5741,0.0,146.3573,290.7908,True
Elongasi,CMC × PVA,1_1,2_1,105.537,0.0093,17.09,193.9841,True
Elongasi,CMC × PVA,1_1,2_2,22.4444,0.9822,-49.7723,94.6612,False
Elongasi,CMC × PVA,1_1,2_3,83.1667,0.0136,10.9499,155.3834,True
Elongasi,CMC × PVA,1_1,3_1,33.9815,0.8311,-38.2353,106.1982,False
Elongasi,CMC × PVA,1_1,3_2,19.537,0.9927,-52.6797,91.7538,False
Elongasi,CMC × PVA,1_1,3_3,47.1852,0.4643,-25.0316,119.4019,False
Elongasi,CMC × PVA,1_2,1_3,181.9259,0.0,109.7092,254.1427,True
Elongasi,CMC × PVA,1_2,2_1,68.8889,0.2404,-19.5582,157.336,False
Elongasi,CMC × PVA,1_2,2_2,-14.2037,0.9992,-86.4204,58.013,False
Elongasi,CMC × PVA,1_2,2_3,46.5185,0.4835,-25.6982,118.7353,False
Elongasi,CMC × PVA,1_2,3_1,-2.6667,1.0,-74.8834,69.5501,False
Elongasi,CMC × PVA,1_2,3_2,-17.1111,0.997,-89.3278,55.1056,False
Elongasi,CMC × PVA,1_2,3_3,10.537,0.9999,-61.6797,82.7538,False
Elongasi,CMC × PVA,1_3,2_1,-113.037,0.0042,-201.4841,-24.59,True
Elongasi,CMC × PVA,1_3,2_2,-196.1296,0.0,-268.3464,-123.9129,True
Elongasi,CMC × PVA,1_3,2_3,-135.4074,0.0,-207.6241,-63.1907,True
Elongasi,CMC × PVA,1_3,3_1,-184.5926,0.0,-256.8093,-112.3759,True
Elongasi,CMC × PVA,1_3,3_2,-199.037,0.0,-271.2538,-126.8203,True
Elongasi,CMC × PVA,1_3,3_3,-171.3889,0.0,-243.6056,-99.1722,True
Elongasi,CMC × PVA,2_1,2_2,-83.0926,0.0803,-171.5397,5.3545,False
Elongasi,CMC × PVA,2_1,2_3,-22.3704,0.9953,-110.8174,66.0767,False
Elongasi,CMC × PVA,2_1,3_1,-71.5556,0.1996,-160.0026,16.8915,False
Elongasi,CMC × PVA,2_1,3_2,-86.0,0.0623,-174.4471,2.4471,False
Elongasi,CMC × PVA,2_1,3_3,-58.3519,0.4512,-146.7989,30.0952,False
Elongasi,CMC × PVA,2_2,2_3,60.7222,0.1623,-11.4945,132.939,False
Elongasi,CMC × PVA,2_2,3_1,11.537,0.9998,-60.6797,83.7538,False
Elongasi,CMC × PVA,2_2,3_2,-2.9074,1.0,-75.1241,69.3093,False
Elongasi,CMC × PVA,2_2,3_3,24.7407,0.9678,-47.476,96.9575,False
Elongasi,CMC × PVA,2_3,3_1,-49.1852,0.4084,-121.4019,23.0316,False
Elongasi,CMC × PVA,2_3,3_2,-63.6296,0.1231,-135.8464,8.5871,False
Elongasi,CMC × PVA,2_3,3_3,-35.9815,0.7839,-108.1982,36.2353,False
Elongasi,CMC × PVA,3_1,3_2,-14.4444,0.9991,-86.6612,57.7723,False
Elongasi,CMC × PVA,3_1,3_3,13.2037,0.9995,-59.013,85.4204,False
Elongasi,CMC × PVA,3_2,3_3,27.6481,0.9395,-44.5686,99.8649,False
Elongasi,CMC × Plasticizer,1_Gliserol,1_Sorbitol,-49.8642,0.6811,-150.4283,50.6999,False
Elongasi,CMC × Plasticizer,1_Gliserol,2_Gliserol,-49.2469,0.6923,-149.811,51.3172,False
Elongasi,CMC × Plasticizer,1_Gliserol,2_Sorbitol,-42.7654,0.8654,-155.1995,69.6687,False
Elongasi,CMC × Plasticizer,1_Gliserol,3_Gliserol,-90.1728,0.102,-190.737,10.3913,False
Elongasi,CMC × Plasticizer,1_Gliserol,3_Sorbitol,-62.7037,0.442,-163.2678,37.8604,False
Elongasi,CMC × Plasticizer,1_Sorbitol,2_Gliserol,0.6173,1.0,-99.9468,101.1814,False
Elongasi,CMC × Plasticizer,1_Sorbitol,2_Sorbitol,7.0988,1.0,-105.3353,119.5329,False
Elongasi,CMC × Plasticizer,1_Sorbitol,3_Gliserol,-40.3086,0.8379,-140.8728,60.2555,False
Elongasi,CMC × Plasticizer,1_Sorbitol,3_Sorbitol,-12.8395,0.9989,-113.4036,87.7246,False
Elongasi,CMC × Plasticizer,2_Gliserol,2_Sorbitol,6.4815,1.0,-105.9526,118.9156,False
Elongasi,CMC × Plasticizer,2_Gliserol,3_Gliserol,-40.9259,0.8292,-141.49,59.6382,False
Elongasi,CMC × Plasticizer,2_Gliserol,3_Sorbitol,-13.4568,0.9986,-114.0209,87.1073,False
Elongasi,CMC × Plasticizer,2_Sorbitol,3_Gliserol,-47.4074,0.8073,-159.8415,65.0267,False
Elongasi,CMC × Plasticizer,2_Sorbitol,3_Sorbitol,-19.9383,0.9948,-132.3724,92.4958,False
Elongasi,CMC × Plasticizer,3_Gliserol,3_Sorbitol,27.4691,0.9637,-73.095,128.0333,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,1_1_Sorbitol,-9.2963,1.0,-106.7863,88.1937,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,1_2_Gliserol,49.037,0.8866,-48.4529,146.527,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,1_2_Sorbitol,14.963,1.0,-82.527,112.4529,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,1_3_Gliserol,267.037,0.0,169.5471,364.527,True
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,1_3_Sorbitol,160.8148,0.0001,63.3248,258.3048,True
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,2_1_Gliserol,100.8889,0.0365,3.3989,198.3789,True
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,2_2_Gliserol,11.6296,1.0,-85.8603,109.1196,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,2_2_Sorbitol,23.963,0.9999,-73.527,121.4529,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,2_3_Gliserol,55.8148,0.7562,-41.6752,153.3048,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,2_3_Sorbitol,101.2222,0.0353,3.7322,198.7122,True
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_1_Gliserol,25.2222,0.9998,-72.2678,122.7122,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_1_Sorbitol,33.4444,0.9959,-64.0455,130.9344,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_2_Gliserol,1.5185,1.0,-95.9715,99.0085,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_2_Sorbitol,28.2593,0.9994,-69.2307,125.7492,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_3_Gliserol,18.8148,1.0,-78.6752,116.3048,False
Elongasi,CMC × PVA × Plasticizer,1_1_Gliserol,3_3_Sorbitol,66.2593,0.4975,-31.2307,163.7492,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,1_2_Gliserol,58.3333,0.6971,-39.1566,155.8233,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,1_2_Sorbitol,24.2593,0.9999,-73.2307,121.7492,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,1_3_Gliserol,276.3333,0.0,178.8434,373.8233,True
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,1_3_Sorbitol,170.1111,0.0,72.6211,267.6011,True
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,2_1_Gliserol,110.1852,0.0147,12.6952,207.6752,True
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,2_2_Gliserol,20.9259,1.0,-76.5641,118.4159,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,2_2_Sorbitol,33.2593,0.9961,-64.2307,130.7492,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,2_3_Gliserol,65.1111,0.5263,-32.3789,162.6011,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,2_3_Sorbitol,110.5185,0.0143,13.0285,208.0085,True
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,3_1_Gliserol,34.5185,0.9943,-62.9715,132.0085,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,3_1_Sorbitol,42.7407,0.959,-54.7492,140.2307,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,3_2_Gliserol,10.8148,1.0,-86.6752,108.3048,False
Elongasi,CMC × PVA × Plasticizer,1_1_Sorbitol,3_2_Sorbitol,37.5556,0.9868,-59.9344,135.0455,False
