Response,Interaction,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
FTL,CMC × PVA,1.0_0.0,1.0_1.0,-7.475,0.0,-9.402,-5.548,True
FTL,CMC × PVA,1.0_0.0,1.0_2.0,-10.8278,0.0,-12.7548,-8.9008,True
FTL,CMC × PVA,1.0_0.0,1.0_3.0,-12.0417,0.0,-13.9687,-10.1147,True
FTL,CMC × PVA,1.0_0.0,2.0_0.0,-7.8417,0.0,-9.7687,-5.9147,True
FTL,CMC × PVA,1.0_0.0,2.0_1.0,-5.2444,0.0,-7.1715,-3.3174,True
FTL,CMC × PVA,1.0_0.0,2.0_2.0,-10.0417,0.0,-11.9687,-8.1147,True
FTL,CMC × PVA,1.0_0.0,2.0_3.0,-12.0533,0.0,-13.9803,-10.1263,True
FTL,CMC × PVA,1.0_0.0,3.0_0.0,-1.1722,0.6461,-3.0992,0.7548,False
FTL,CMC × PVA,1.0_0.0,3.0_1.0,-5.5167,0.0,-7.4437,-3.5897,True
FTL,CMC × PVA,1.0_0.0,3.0_2.0,-10.8067,0.0,-12.7337,-8.8797,True
FTL,CMC × PVA,1.0_0.0,3.0_3.0,-11.8111,0.0,-13.7381,-9.8841,True
FTL,CMC × PVA,1.0_1.0,1.0_2.0,-3.3528,0.0,-5.2798,-1.4258,True
FTL,CMC × PVA,1.0_1.0,1.0_3.0,-4.5667,0.0,-6.4937,-2.6397,True
FTL,CMC × PVA,1.0_1.0,2.0_0.0,-0.3667,1.0,-2.2937,1.5603,False
FTL,CMC × PVA,1.0_1.0,2.0_1.0,2.2306,0.0108,0.3035,4.1576,True
FTL,CMC × PVA,1.0_1.0,2.0_2.0,-2.5667,0.0016,-4.4937,-0.6397,True
FTL,CMC × PVA,1.0_1.0,2.0_3.0,-4.5783,0.0,-6.5053,-2.6513,True
FTL,CMC × PVA,1.0_1.0,3.0_0.0,6.3028,0.0,4.3758,8.2298,True
FTL,CMC × PVA,1.0_1.0,3.0_1.0,1.9583,0.0431,0.0313,3.8853,True
FTL,CMC × PVA,1.0_1.0,3.0_2.0,-3.3317,0.0,-5.2587,-1.4047,True
FTL,CMC × PVA,1.0_1.0,3.0_3.0,-4.3361,0.0,-6.2631,-2.4091,True
FTL,CMC × PVA,1.0_2.0,1.0_3.0,-1.2139,0.5961,-3.1409,0.7131,False
FTL,CMC × PVA,1.0_2.0,2.0_0.0,2.9861,0.0001,1.0591,4.9131,True
FTL,CMC × PVA,1.0_2.0,2.0_1.0,5.5833,0.0,3.6563,7.5103,True
FTL,CMC × PVA,1.0_2.0,2.0_2.0,0.7861,0.9617,-1.1409,2.7131,False
FTL,CMC × PVA,1.0_2.0,2.0_3.0,-1.2256,0.5819,-3.1526,0.7015,False
FTL,CMC × PVA,1.0_2.0,3.0_0.0,9.6556,0.0,7.7285,11.5826,True
FTL,CMC × PVA,1.0_2.0,3.0_1.0,5.3111,0.0,3.3841,7.2381,True
FTL,CMC × PVA,1.0_2.0,3.0_2.0,0.0211,1.0,-1.9059,1.9481,False
FTL,CMC × PVA,1.0_2.0,3.0_3.0,-0.9833,0.8446,-2.9103,0.9437,False
FTL,CMC × PVA,1.0_3.0,2.0_0.0,4.2,0.0,2.273,6.127,True
FTL,CMC × PVA,1.0_3.0,2.0_1.0,6.7972,0.0,4.8702,8.7242,True
FTL,CMC × PVA,1.0_3.0,2.0_2.0,2.0,0.0353,0.073,3.927,True
FTL,CMC × PVA,1.0_3.0,2.0_3.0,-0.0117,1.0,-1.9387,1.9153,False
FTL,CMC × PVA,1.0_3.0,3.0_0.0,10.8694,0.0,8.9424,12.7965,True
FTL,CMC × PVA,1.0_3.0,3.0_1.0,6.525,0.0,4.598,8.452,True
FTL,CMC × PVA,1.0_3.0,3.0_2.0,1.235,0.5705,-0.692,3.162,False
FTL,CMC × PVA,1.0_3.0,3.0_3.0,0.2306,1.0,-1.6965,2.1576,False
FTL,CMC × PVA,2.0_0.0,2.0_1.0,2.5972,0.0013,0.6702,4.5242,True
FTL,CMC × PVA,2.0_0.0,2.0_2.0,-2.2,0.0127,-4.127,-0.273,True
FTL,CMC × PVA,2.0_0.0,2.0_3.0,-4.2117,0.0,-6.1387,-2.2847,True
FTL,CMC × PVA,2.0_0.0,3.0_0.0,6.6694,0.0,4.7424,8.5965,True
FTL,CMC × PVA,2.0_0.0,3.0_1.0,2.325,0.0064,0.398,4.252,True
FTL,CMC × PVA,2.0_0.0,3.0_2.0,-2.965,0.0001,-4.892,-1.038,True
FTL,CMC × PVA,2.0_0.0,3.0_3.0,-3.9694,0.0,-5.8965,-2.0424,True
FTL,CMC × PVA,2.0_1.0,2.0_2.0,-4.7972,0.0,-6.7242,-2.8702,True
FTL,CMC × PVA,2.0_1.0,2.0_3.0,-6.8089,0.0,-8.7359,-4.8819,True
FTL,CMC × PVA,2.0_1.0,3.0_0.0,4.0722,0.0,2.1452,5.9992,True
FTL,CMC × PVA,2.0_1.0,3.0_1.0,-0.2722,1.0,-2.1992,1.6548,False
FTL,CMC × PVA,2.0_1.0,3.0_2.0,-5.5622,0.0,-7.4892,-3.6352,True
FTL,CMC × PVA,2.0_1.0,3.0_3.0,-6.5667,0.0,-8.4937,-4.6397,True
FTL,CMC × PVA,2.0_2.0,2.0_3.0,-2.0117,0.0333,-3.9387,-0.0847,True
FTL,CMC × PVA,2.0_2.0,3.0_0.0,8.8694,0.0,6.9424,10.7965,True
FTL,CMC × PVA,2.0_2.0,3.0_1.0,4.525,0.0,2.598,6.452,True
FTL,CMC × PVA,2.0_2.0,3.0_2.0,-0.765,0.9684,-2.692,1.162,False
FTL,CMC × PVA,2.0_2.0,3.0_3.0,-1.7694,0.1009,-3.6965,0.1576,False
FTL,CMC × PVA,2.0_3.0,3.0_0.0,10.8811,0.0,8.9541,12.8081,True
FTL,CMC × PVA,2.0_3.0,3.0_1.0,6.5367,0.0,4.6097,8.4637,True
FTL,CMC × PVA,2.0_3.0,3.0_2.0,1.2467,0.5563,-0.6803,3.1737,False
FTL,CMC × PVA,2.0_3.0,3.0_3.0,0.2422,1.0,-1.6848,2.1692,False
FTL,CMC × PVA,3.0_0.0,3.0_1.0,-4.3444,0.0,-6.2715,-2.4174,True
FTL,CMC × PVA,3.0_0.0,3.0_2.0,-9.6344,0.0,-11.5615,-7.7074,True
FTL,CMC × PVA,3.0_0.0,3.0_3.0,-10.6389,0.0,-12.5659,-8.7119,True
FTL,CMC × PVA,3.0_1.0,3.0_2.0,-5.29,0.0,-7.217,-3.363,True
FTL,CMC × PVA,3.0_1.0,3.0_3.0,-6.2944,0.0,-8.2215,-4.3674,True
FTL,CMC × PVA,3.0_2.0,3.0_3.0,-1.0044,0.826,-2.9315,0.9226,False
FTL,CMC × Plasticizer,1.0_Gliserol,1.0_Sorbitol,-0.6875,0.9986,-5.7325,4.3575,False
FTL,CMC × Plasticizer,1.0_Gliserol,2.0_Gliserol,-1.8382,0.8917,-6.8832,3.2069,False
FTL,CMC × Plasticizer,1.0_Gliserol,2.0_Sorbitol,-1.2676,0.9765,-6.3127,3.7774,False
FTL,CMC × Plasticizer,1.0_Gliserol,3.0_Gliserol,-0.5376,0.9996,-5.5827,4.5074,False
FTL,CMC × Plasticizer,1.0_Gliserol,3.0_Sorbitol,0.369,0.9999,-4.676,5.4141,False
FTL,CMC × Plasticizer,1.0_Sorbitol,2.0_Gliserol,-1.1507,0.9847,-6.1957,3.8944,False
FTL,CMC × Plasticizer,1.0_Sorbitol,2.0_Sorbitol,-0.5801,0.9994,-5.6252,4.4649,False
FTL,CMC × Plasticizer,1.0_Sorbitol,3.0_Gliserol,0.1499,1.0,-4.8952,5.1949,False
FTL,CMC × Plasticizer,1.0_Sorbitol,3.0_Sorbitol,1.0565,0.9896,-3.9885,6.1016,False
FTL,CMC × Plasticizer,2.0_Gliserol,2.0_Sorbitol,0.5706,0.9994,-4.4745,5.6156,False
FTL,CMC × Plasticizer,2.0_Gliserol,3.0_Gliserol,1.3006,0.9737,-3.7445,6.3456,False
FTL,CMC × Plasticizer,2.0_Gliserol,3.0_Sorbitol,2.2072,0.7926,-2.8378,7.2523,False
FTL,CMC × Plasticizer,2.0_Sorbitol,3.0_Gliserol,0.73,0.9982,-4.315,5.775,False
FTL,CMC × Plasticizer,2.0_Sorbitol,3.0_Sorbitol,1.6367,0.9311,-3.4084,6.6817,False
FTL,CMC × Plasticizer,3.0_Gliserol,3.0_Sorbitol,0.9067,0.9949,-4.1384,5.9517,False
FTL,PVA × Plasticizer,0.0_Gliserol,0.0_Sorbitol,1.8981,0.5077,-1.1163,4.9126,False
FTL,PVA × Plasticizer,0.0_Gliserol,1.0_Gliserol,-1.887,0.5153,-4.9015,1.1274,False
FTL,PVA × Plasticizer,0.0_Gliserol,1.0_Sorbitol,-2.363,0.2332,-5.3774,0.6515,False
FTL,PVA × Plasticizer,0.0_Gliserol,2.0_Gliserol,-6.0178,0.0,-9.0322,-3.0033,True
FTL,PVA × Plasticizer,0.0_Gliserol,2.0_Sorbitol,-7.1922,0.0,-10.2067,-4.1778,True
FTL,PVA × Plasticizer,0.0_Gliserol,3.0_Gliserol,-8.4176,0.0,-11.432,-5.4031,True
FTL,PVA × Plasticizer,0.0_Gliserol,3.0_Sorbitol,-7.6124,0.0,-10.6269,-4.598,True
FTL,PVA × Plasticizer,0.0_Sorbitol,1.0_Gliserol,-3.7852,0.0049,-6.7996,-0.7707,True
FTL,PVA × Plasticizer,0.0_Sorbitol,1.0_Sorbitol,-4.2611,0.0009,-7.2756,-1.2467,True
FTL,PVA × Plasticizer,0.0_Sorbitol,2.0_Gliserol,-7.9159,0.0,-10.9304,-4.9015,True
FTL,PVA × Plasticizer,0.0_Sorbitol,2.0_Sorbitol,-9.0904,0.0,-12.1048,-6.0759,True
FTL,PVA × Plasticizer,0.0_Sorbitol,3.0_Gliserol,-10.3157,0.0,-13.3302,-7.3013,True
FTL,PVA × Plasticizer,0.0_Sorbitol,3.0_Sorbitol,-9.5106,0.0,-12.525,-6.4961,True
FTL,PVA × Plasticizer,1.0_Gliserol,1.0_Sorbitol,-0.4759,0.9996,-3.4904,2.5385,False
FTL,PVA × Plasticizer,1.0_Gliserol,2.0_Gliserol,-4.1307,0.0015,-7.1452,-1.1163,True
FTL,PVA × Plasticizer,1.0_Gliserol,2.0_Sorbitol,-5.3052,0.0,-8.3196,-2.2907,True
FTL,PVA × Plasticizer,1.0_Gliserol,3.0_Gliserol,-6.5306,0.0,-9.545,-3.5161,True
FTL,PVA × Plasticizer,1.0_Gliserol,3.0_Sorbitol,-5.7254,0.0,-8.7398,-2.7109,True
FTL,PVA × Plasticizer,1.0_Sorbitol,2.0_Gliserol,-3.6548,0.0074,-6.6693,-0.6404,True
FTL,PVA × Plasticizer,1.0_Sorbitol,2.0_Sorbitol,-4.8293,0.0001,-7.8437,-1.8148,True
FTL,PVA × Plasticizer,1.0_Sorbitol,3.0_Gliserol,-6.0546,0.0,-9.0691,-3.0402,True
FTL,PVA × Plasticizer,1.0_Sorbitol,3.0_Sorbitol,-5.2494,0.0,-8.2639,-2.235,True
FTL,PVA × Plasticizer,2.0_Gliserol,2.0_Sorbitol,-1.1744,0.9227,-4.1889,1.84,False
FTL,PVA × Plasticizer,2.0_Gliserol,3.0_Gliserol,-2.3998,0.2166,-5.4143,0.6146,False
FTL,PVA × Plasticizer,2.0_Gliserol,3.0_Sorbitol,-1.5946,0.7138,-4.6091,1.4198,False
FTL,PVA × Plasticizer,2.0_Sorbitol,3.0_Gliserol,-1.2254,0.9051,-4.2398,1.7891,False
FTL,PVA × Plasticizer,2.0_Sorbitol,3.0_Sorbitol,-0.4202,0.9998,-3.4346,2.5943,False
FTL,PVA × Plasticizer,3.0_Gliserol,3.0_Sorbitol,0.8052,0.9902,-2.2093,3.8196,False
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_0.0_Sorbitol,0.6333,0.0001,0.223,1.0437,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_1.0_Gliserol,-6.1667,0.0,-6.577,-5.7563,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_1.0_Sorbitol,-8.15,0.0,-8.5603,-7.7397,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_2.0_Gliserol,-9.4444,0.0,-9.8548,-9.0341,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_2.0_Sorbitol,-11.5778,0.0,-11.9881,-11.1675,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_3.0_Gliserol,-12.0917,0.0,-12.502,-11.6813,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,1.0_3.0_Sorbitol,-11.3583,0.0,-11.7687,-10.948,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_0.0_Gliserol,-9.7667,0.0,-10.177,-9.3563,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_0.0_Sorbitol,-5.2833,0.0,-5.6937,-4.873,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_1.0_Gliserol,-4.4222,0.0,-4.8325,-4.0119,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_1.0_Sorbitol,-5.4333,0.0,-5.8437,-5.023,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_2.0_Gliserol,-8.8667,0.0,-9.277,-8.4563,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_2.0_Sorbitol,-10.5833,0.0,-10.9937,-10.173,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_3.0_Gliserol,-12.0,0.0,-12.4103,-11.5897,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,2.0_3.0_Sorbitol,-11.4733,0.0,-11.8837,-11.063,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_0.0_Gliserol,-1.1444,0.0,-1.5548,-0.7341,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_0.0_Sorbitol,-0.5667,0.0006,-0.977,-0.1563,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_1.0_Gliserol,-5.9833,0.0,-6.3937,-5.573,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_1.0_Sorbitol,-4.4167,0.0,-4.827,-4.0063,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_2.0_Gliserol,-10.6533,0.0,-11.0637,-10.243,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_2.0_Sorbitol,-10.3267,0.0,-10.737,-9.9163,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_3.0_Gliserol,-12.0722,0.0,-12.4825,-11.6619,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Gliserol,3.0_3.0_Sorbitol,-10.9167,0.0,-11.327,-10.5063,True
FTL,CMC × PVA × Plasticizer,1.0_0.0_Sorbitol,1.0_1.0_Gliserol,-6.8,0.0,-7.2103,-6.3897,True
