Response,Interaction,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
Solubilitas,CMC × PVA,1_1,1_2,-0.0704,0.8982,-0.2369,0.0961,False
Solubilitas,CMC × PVA,1_1,1_3,-0.201,0.0082,-0.3675,-0.0345,True
Solubilitas,CMC × PVA,1_1,2_1,-0.0078,1.0,-0.2117,0.1962,False
Solubilitas,CMC × PVA,1_1,2_2,-0.1165,0.3728,-0.283,0.05,False
Solubilitas,CMC × PVA,1_1,2_3,-0.2274,0.0018,-0.3939,-0.0609,True
Solubilitas,CMC × PVA,1_1,3_1,-0.1226,0.3072,-0.2891,0.0439,False
Solubilitas,CMC × PVA,1_1,3_2,-0.2311,0.0014,-0.3976,-0.0646,True
Solubilitas,CMC × PVA,1_1,3_3,-0.221,0.0026,-0.3875,-0.0545,True
Solubilitas,CMC × PVA,1_2,1_3,-0.1306,0.2323,-0.2971,0.0359,False
Solubilitas,CMC × PVA,1_2,2_1,0.0627,0.9834,-0.1413,0.2666,False
Solubilitas,CMC × PVA,1_2,2_2,-0.0461,0.9915,-0.2126,0.1204,False
Solubilitas,CMC × PVA,1_2,2_3,-0.157,0.0783,-0.3235,0.0095,False
Solubilitas,CMC × PVA,1_2,3_1,-0.0522,0.9812,-0.2187,0.1143,False
Solubilitas,CMC × PVA,1_2,3_2,-0.1607,0.0658,-0.3272,0.0058,False
Solubilitas,CMC × PVA,1_2,3_3,-0.1506,0.104,-0.3171,0.0159,False
Solubilitas,CMC × PVA,1_3,2_1,0.1933,0.0753,-0.0106,0.3972,False
Solubilitas,CMC × PVA,1_3,2_2,0.0846,0.7663,-0.0819,0.251,False
Solubilitas,CMC × PVA,1_3,2_3,-0.0263,0.9998,-0.1928,0.1402,False
Solubilitas,CMC × PVA,1_3,3_1,0.0784,0.8301,-0.088,0.2449,False
Solubilitas,CMC × PVA,1_3,3_2,-0.0301,0.9996,-0.1966,0.1364,False
Solubilitas,CMC × PVA,1_3,3_3,-0.02,1.0,-0.1865,0.1465,False
Solubilitas,CMC × PVA,2_1,2_2,-0.1087,0.7174,-0.3126,0.0952,False
Solubilitas,CMC × PVA,2_1,2_3,-0.2196,0.0263,-0.4235,-0.0157,True
Solubilitas,CMC × PVA,2_1,3_1,-0.1148,0.656,-0.3187,0.0891,False
Solubilitas,CMC × PVA,2_1,3_2,-0.2234,0.0225,-0.4273,-0.0195,True
Solubilitas,CMC × PVA,2_1,3_3,-0.2133,0.0343,-0.4172,-0.0094,True
Solubilitas,CMC × PVA,2_2,2_3,-0.1109,0.4384,-0.2774,0.0556,False
Solubilitas,CMC × PVA,2_2,3_1,-0.0061,1.0,-0.1726,0.1604,False
Solubilitas,CMC × PVA,2_2,3_2,-0.1146,0.3938,-0.2811,0.0518,False
Solubilitas,CMC × PVA,2_2,3_3,-0.1046,0.5176,-0.271,0.0619,False
Solubilitas,CMC × PVA,2_3,3_1,0.1048,0.5147,-0.0617,0.2713,False
Solubilitas,CMC × PVA,2_3,3_2,-0.0038,1.0,-0.1703,0.1627,False
Solubilitas,CMC × PVA,2_3,3_3,0.0063,1.0,-0.1602,0.1728,False
Solubilitas,CMC × PVA,3_1,3_2,-0.1085,0.4673,-0.275,0.058,False
Solubilitas,CMC × PVA,3_1,3_3,-0.0984,0.5961,-0.2649,0.068,False
Solubilitas,CMC × PVA,3_2,3_3,0.0101,1.0,-0.1564,0.1766,False
Solubilitas,CMC × Plasticizer,1_Gliserol,1_Sorbitol,-0.0661,0.4909,-0.1769,0.0447,False
Solubilitas,CMC × Plasticizer,1_Gliserol,2_Gliserol,-0.0236,0.9879,-0.1343,0.0872,False
Solubilitas,CMC × Plasticizer,1_Gliserol,2_Sorbitol,-0.1688,0.0025,-0.2927,-0.045,True
Solubilitas,CMC × Plasticizer,1_Gliserol,3_Gliserol,-0.0235,0.988,-0.1343,0.0873,False
Solubilitas,CMC × Plasticizer,1_Gliserol,3_Sorbitol,-0.2448,0.0,-0.3556,-0.134,True
Solubilitas,CMC × Plasticizer,1_Sorbitol,2_Gliserol,0.0426,0.8605,-0.0682,0.1533,False
Solubilitas,CMC × Plasticizer,1_Sorbitol,2_Sorbitol,-0.1027,0.1555,-0.2266,0.0211,False
Solubilitas,CMC × Plasticizer,1_Sorbitol,3_Gliserol,0.0426,0.86,-0.0682,0.1534,False
Solubilitas,CMC × Plasticizer,1_Sorbitol,3_Sorbitol,-0.1787,0.0002,-0.2895,-0.0679,True
Solubilitas,CMC × Plasticizer,2_Gliserol,2_Sorbitol,-0.1453,0.0131,-0.2691,-0.0214,True
Solubilitas,CMC × Plasticizer,2_Gliserol,3_Gliserol,0.0,1.0,-0.1107,0.1108,False
Solubilitas,CMC × Plasticizer,2_Gliserol,3_Sorbitol,-0.2212,0.0,-0.332,-0.1105,True
Solubilitas,CMC × Plasticizer,2_Sorbitol,3_Gliserol,0.1453,0.013,0.0215,0.2692,True
Solubilitas,CMC × Plasticizer,2_Sorbitol,3_Sorbitol,-0.076,0.4602,-0.1998,0.0479,False
Solubilitas,CMC × Plasticizer,3_Gliserol,3_Sorbitol,-0.2213,0.0,-0.3321,-0.1105,True
Solubilitas,PVA × Plasticizer,1_Gliserol,1_Sorbitol,-0.1534,0.0008,-0.2567,-0.0501,True
Solubilitas,PVA × Plasticizer,1_Gliserol,2_Gliserol,-0.1211,0.0041,-0.2135,-0.0287,True
Solubilitas,PVA × Plasticizer,1_Gliserol,2_Sorbitol,-0.1791,0.0,-0.2715,-0.0867,True
Solubilitas,PVA × Plasticizer,1_Gliserol,3_Gliserol,-0.1306,0.0016,-0.223,-0.0382,True
Solubilitas,PVA × Plasticizer,1_Gliserol,3_Sorbitol,-0.3239,0.0,-0.4163,-0.2315,True
Solubilitas,PVA × Plasticizer,1_Sorbitol,2_Gliserol,0.0323,0.9366,-0.071,0.1356,False
Solubilitas,PVA × Plasticizer,1_Sorbitol,2_Sorbitol,-0.0257,0.9756,-0.129,0.0776,False
Solubilitas,PVA × Plasticizer,1_Sorbitol,3_Gliserol,0.0228,0.9856,-0.0805,0.1261,False
Solubilitas,PVA × Plasticizer,1_Sorbitol,3_Sorbitol,-0.1705,0.0002,-0.2739,-0.0672,True
Solubilitas,PVA × Plasticizer,2_Gliserol,2_Sorbitol,-0.058,0.4342,-0.1504,0.0344,False
Solubilitas,PVA × Plasticizer,2_Gliserol,3_Gliserol,-0.0095,0.9996,-0.1019,0.0829,False
Solubilitas,PVA × Plasticizer,2_Gliserol,3_Sorbitol,-0.2028,0.0,-0.2952,-0.1104,True
Solubilitas,PVA × Plasticizer,2_Sorbitol,3_Gliserol,0.0486,0.6257,-0.0438,0.141,False
Solubilitas,PVA × Plasticizer,2_Sorbitol,3_Sorbitol,-0.1448,0.0004,-0.2372,-0.0524,True
Solubilitas,PVA × Plasticizer,3_Gliserol,3_Sorbitol,-0.1934,0.0,-0.2858,-0.101,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,1_1_Sorbitol,-0.0623,0.0,-0.0794,-0.0452,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,1_2_Gliserol,-0.1125,0.0,-0.1297,-0.0954,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,1_2_Sorbitol,-0.0906,0.0,-0.1077,-0.0735,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,1_3_Gliserol,-0.1532,0.0,-0.1703,-0.1361,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,1_3_Sorbitol,-0.3112,0.0,-0.3283,-0.294,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,2_1_Gliserol,-0.0389,0.0,-0.056,-0.0218,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,2_2_Gliserol,-0.1328,0.0,-0.1499,-0.1157,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,2_2_Sorbitol,-0.1625,0.0,-0.1796,-0.1454,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,2_3_Gliserol,-0.1647,0.0,-0.1818,-0.1476,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,2_3_Sorbitol,-0.3523,0.0,-0.3695,-0.3352,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_1_Gliserol,-0.0222,0.0027,-0.0394,-0.0051,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_1_Sorbitol,-0.2852,0.0,-0.3024,-0.2681,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_2_Gliserol,-0.1791,0.0,-0.1962,-0.162,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_2_Sorbitol,-0.3454,0.0,-0.3625,-0.3283,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_3_Gliserol,-0.1349,0.0,-0.152,-0.1178,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Gliserol,3_3_Sorbitol,-0.3695,0.0,-0.3866,-0.3523,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,1_2_Gliserol,-0.0502,0.0,-0.0673,-0.0331,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,1_2_Sorbitol,-0.0283,0.0001,-0.0454,-0.0112,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,1_3_Gliserol,-0.0909,0.0,-0.108,-0.0738,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,1_3_Sorbitol,-0.2489,0.0,-0.266,-0.2317,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,2_1_Gliserol,0.0234,0.0013,0.0063,0.0405,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,2_2_Gliserol,-0.0705,0.0,-0.0876,-0.0533,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,2_2_Sorbitol,-0.1002,0.0,-0.1173,-0.0831,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,2_3_Gliserol,-0.1024,0.0,-0.1195,-0.0853,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,2_3_Sorbitol,-0.29,0.0,-0.3071,-0.2729,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,3_1_Gliserol,0.0401,0.0,0.023,0.0572,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,3_1_Sorbitol,-0.2229,0.0,-0.24,-0.2058,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,3_2_Gliserol,-0.1168,0.0,-0.1339,-0.0997,True
Solubilitas,CMC × PVA × Plasticizer,1_1_Sorbitol,3_2_Sorbitol,-0.2831,0.0,-0.3002,-0.266,True
