Response,Interaction,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
UTS,CMC × PVA,1_1,1_2,0.5017,0.8466,-0.5874,1.5909,False
UTS,CMC × PVA,1_1,1_3,3.0306,0.0,1.9414,4.1198,True
UTS,CMC × PVA,1_1,2_1,1.5168,0.0156,0.1828,2.8508,True
UTS,CMC × PVA,1_1,2_2,0.7045,0.4779,-0.3846,1.7937,False
UTS,CMC × PVA,1_1,2_3,1.1724,0.0265,0.0832,2.2615,True
UTS,CMC × PVA,1_1,3_1,0.4933,0.8582,-0.5959,1.5825,False
UTS,CMC × PVA,1_1,3_2,0.6785,0.5282,-0.4106,1.7677,False
UTS,CMC × PVA,1_1,3_3,1.0148,0.0851,-0.0744,2.104,False
UTS,CMC × PVA,1_2,1_3,2.5288,0.0,1.4396,3.618,True
UTS,CMC × PVA,1_2,2_1,1.015,0.2672,-0.3189,2.349,False
UTS,CMC × PVA,1_2,2_2,0.2028,0.9995,-0.8864,1.292,False
UTS,CMC × PVA,1_2,2_3,0.6706,0.5438,-0.4186,1.7598,False
UTS,CMC × PVA,1_2,3_1,-0.0085,1.0,-1.0977,1.0807,False
UTS,CMC × PVA,1_2,3_2,0.1768,0.9998,-0.9124,1.266,False
UTS,CMC × PVA,1_2,3_3,0.5131,0.8303,-0.5761,1.6023,False
UTS,CMC × PVA,1_3,2_1,-1.5138,0.0159,-2.8478,-0.1798,True
UTS,CMC × PVA,1_3,2_2,-2.326,0.0,-3.4152,-1.2368,True
UTS,CMC × PVA,1_3,2_3,-1.8582,0.0001,-2.9474,-0.769,True
UTS,CMC × PVA,1_3,3_1,-2.5373,0.0,-3.6265,-1.4481,True
UTS,CMC × PVA,1_3,3_2,-2.352,0.0,-3.4412,-1.2628,True
UTS,CMC × PVA,1_3,3_3,-2.0157,0.0,-3.1049,-0.9265,True
UTS,CMC × PVA,2_1,2_2,-0.8122,0.5584,-2.1462,0.5217,False
UTS,CMC × PVA,2_1,2_3,-0.3444,0.9946,-1.6784,0.9896,False
UTS,CMC × PVA,2_1,3_1,-1.0235,0.2575,-2.3575,0.3105,False
UTS,CMC × PVA,2_1,3_2,-0.8382,0.5167,-2.1722,0.4957,False
UTS,CMC × PVA,2_1,3_3,-0.5019,0.945,-1.8359,0.832,False
UTS,CMC × PVA,2_2,2_3,0.4678,0.89,-0.6214,1.557,False
UTS,CMC × PVA,2_2,3_1,-0.2113,0.9993,-1.3004,0.8779,False
UTS,CMC × PVA,2_2,3_2,-0.026,1.0,-1.1152,1.0632,False
UTS,CMC × PVA,2_2,3_3,0.3103,0.9897,-0.7789,1.3995,False
UTS,CMC × PVA,2_3,3_1,-0.6791,0.5272,-1.7683,0.4101,False
UTS,CMC × PVA,2_3,3_2,-0.4938,0.8575,-1.583,0.5954,False
UTS,CMC × PVA,2_3,3_3,-0.1575,0.9999,-1.2467,0.9317,False
UTS,CMC × PVA,3_1,3_2,0.1853,0.9997,-0.9039,1.2744,False
UTS,CMC × PVA,3_1,3_3,0.5216,0.8176,-0.5676,1.6107,False
UTS,CMC × PVA,3_2,3_3,0.3363,0.9829,-0.7529,1.4255,False
UTS,CMC × Plasticizer,1_Gliserol,1_Sorbitol,0.2256,0.9967,-1.1769,1.6282,False
