Response,Coefficient,Estimate,CI_Lower,CI_Upper,p_value
FTL,C(CMC)[T.2.0],-9.766666666666707,-9.980708281192399,-9.552625052141014,1.4023554859197883e-55
FTL,C(CMC)[T.3.0],-1.1444444444444908,-1.358486058970184,-0.9304028299187976,2.247018467595791e-14
FTL,C(PVA)[T.1.0],-6.166666666666703,-6.380708281192397,-5.95262505214101,4.4184149477888674e-46
FTL,C(PVA)[T.2.0],-9.444444444444485,-9.65848605897018,-9.230402829918791,6.953393906699833e-55
FTL,C(PVA)[T.3.0],-12.0916666666667,-12.305708281192395,-11.877625052141006,5.193978487344745e-60
FTL,C(Plasticizer)[T.Sorbitol],0.6333333333332996,0.41929171880760613,0.8473749478589929,2.9961577369900706e-07
FTL,C(CMC)[T.2.0]:C(PVA)[T.1.0],11.511111111111125,11.208410556936656,11.813811665285595,8.324088041826467e-52
FTL,C(CMC)[T.3.0]:C(PVA)[T.1.0],1.3277777777778172,1.0250772236033476,1.6304783319522869,1.309145589244599e-11
FTL,C(CMC)[T.2.0]:C(PVA)[T.2.0],10.34444444444448,10.041743890270011,10.64714499861895,1.3434392468146406e-49
FTL,C(CMC)[T.3.0]:C(PVA)[T.2.0],-0.06444444444441658,-0.3671449986188863,0.2382561097300531,0.6705214784341222
FTL,C(CMC)[T.2.0]:C(PVA)[T.3.0],9.858333333333343,9.555632779158874,10.161033887507813,1.3219376551200845e-48
FTL,C(CMC)[T.3.0]:C(PVA)[T.3.0],1.1638888888889336,0.8611883347144638,1.4665894430634034,5.629289062964801e-10
FTL,C(CMC)[T.2.0]:C(Plasticizer)[T.Sorbitol],3.850000000000006,3.5472994458255367,4.152700554174475,1.2938000385608226e-29
FTL,C(CMC)[T.3.0]:C(Plasticizer)[T.Sorbitol],-0.05555555555553871,-0.35825610973000815,0.24714499861893074,0.713737186336198
FTL,C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],-2.616666666666629,-2.9193672208410986,-2.3139661124921593,2.3942973286543173e-22
FTL,C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],-2.7666666666666235,-3.069367220841093,-2.463966112492154,2.322810050057026e-23
FTL,C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],0.10000000000004262,-0.20270055417442712,0.40270055417451234,0.5097200348125783
FTL,C(CMC)[T.2.0]:C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],-2.8777777777778173,-3.305861006829204,-2.4496945487264306,5.551045759634368e-18
FTL,C(CMC)[T.3.0]:C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],3.605555555555498,3.177472326504111,4.033638784606884,7.025373383133695e-22
FTL,C(CMC)[T.2.0]:C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],-3.43333333333336,-3.8614165623847465,-3.005250104281974,5.217176749205169e-21
FTL,C(CMC)[T.3.0]:C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],2.5155555555554985,2.0874723265041117,2.943638784606885,8.177706527123621e-16
FTL,C(CMC)[T.2.0]:C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],-4.056666666666699,-4.484749895718085,-3.6285834376153123,5.0301152348603495e-24
FTL,C(CMC)[T.3.0]:C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],0.47777777777773023,0.04969454872634338,0.9058610068291171,0.029477636607488027
Kelarutan,C(CMC)[T.2.0],9.76666666666665,9.552625052140957,9.980708281192342,1.4023554859202072e-55
Kelarutan,C(CMC)[T.3.0],1.1444444444444826,0.9304028299187892,1.358486058970176,2.2470184675963862e-14
Kelarutan,C(PVA)[T.1.0],6.1666666666666,5.952625052140906,6.380708281192295,4.41841494779251e-46
Kelarutan,C(PVA)[T.2.0],9.44444444444439,9.230402829918695,9.658486058970084,6.95339390670339e-55
Kelarutan,C(PVA)[T.3.0],12.091666666666661,11.877625052140967,12.305708281192356,5.193978487345632e-60
Kelarutan,C(Plasticizer)[T.Sorbitol],-0.6333333333334148,-0.8473749478591084,-0.4192917188077212,2.996157736978703e-07
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.1.0],-11.511111111111084,-11.813811665285554,-11.208410556936615,8.324088041828004e-52
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.1.0],-1.3277777777778188,-1.6304783319522886,-1.025077223603349,1.309145589244585e-11
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.2.0],-10.344444444444438,-10.647144998618908,-10.041743890269968,1.3434392468149458e-49
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.2.0],0.06444444444435804,-0.23825610973011185,0.36714499861882793,0.6705214784344036
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.3.0],-9.85833333333336,-10.161033887507829,-9.55563277915889,1.3219376551200281e-48
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.3.0],-1.1638888888889483,-1.4665894430634183,-0.8611883347144782,5.629289062962973e-10
Kelarutan,C(CMC)[T.2.0]:C(Plasticizer)[T.Sorbitol],-3.8500000000000343,-4.152700554174504,-3.547299445825565,1.2938000385604359e-29
Kelarutan,C(CMC)[T.3.0]:C(Plasticizer)[T.Sorbitol],0.05555555555548844,-0.24714499861898118,0.358256109729958,0.7137371863364455
Kelarutan,C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],2.6166666666666574,2.3139661124921878,2.919367220841127,2.394297328653276e-22
Kelarutan,C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],2.7666666666667004,2.4639661124922303,3.0693672208411704,2.322810050054362e-23
Kelarutan,C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],-0.09999999999997392,-0.40270055417444384,0.20270055417449603,0.5097200348128681
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],2.8777777777777045,2.4496945487263178,3.3058610068290912,5.551045759642813e-18
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.1.0]:C(Plasticizer)[T.Sorbitol],-3.6055555555555725,-4.03363878460696,-3.1774723265041858,7.025373383127934e-22
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],3.4333333333333744,3.0052501042819877,3.861416562384761,5.2171767492044615e-21
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.2.0]:C(Plasticizer)[T.Sorbitol],-2.5155555555555735,-2.9436387846069607,-2.0874723265041863,8.177706527115079e-16
Kelarutan,C(CMC)[T.2.0]:C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],4.056666666666608,3.6285834376152213,4.484749895717995,5.0301152348652954e-24
Kelarutan,C(CMC)[T.3.0]:C(PVA)[T.3.0]:C(Plasticizer)[T.Sorbitol],-0.47777777777783115,-0.9058610068292183,-0.049694548726443966,0.029477636607455535
Solubilitas,C(CMC)[T.2],-0.0466633543188442,-0.0872631667814093,-0.006063541856279088,0.025236621882105844
Solubilitas,C(CMC)[T.3],-0.10109823997718183,-0.13937611025342436,-0.0628203697009393,3.152401589717639e-06
Solubilitas,C(PVA)[T.2],-0.07594710741722246,-0.11654691987978757,-0.03534729495465735,0.00047668498936824397
Solubilitas,C(PVA)[T.3],-0.15308546115838897,-0.1936852736209541,-0.11248564869582384,1.3508138508281807e-09
Solubilitas,C(Plasticizer)[T.Sorbitol],-0.13324243080949033,-0.165772365389046,-0.10071249622993467,1.4968403524972456e-10
Opasitas,C(CMC)[T.2],0.44655332403860915,0.3166262464920803,0.5764804015851379,1.3283562131261893e-08
Opasitas,C(CMC)[T.3],0.9223197758030413,0.79982335234584,1.0448161992602425,2.6493421292877234e-19
Opasitas,C(PVA)[T.2],0.12684664972246693,-0.0030804278240619265,0.2567737272689958,0.05544456046516473
Opasitas,C(PVA)[T.3],0.15227290487768075,0.02234582733115184,0.2821999824242096,0.022644011706143004
Opasitas,C(Plasticizer)[T.Sorbitol],0.07921004317139259,-0.024891899087539818,0.183311985430325,0.13239765201514697
WVTR,C(CMC)[T.2],-0.6289124176589246,-1.562184602700694,0.30435976738284476,0.18146673630423882
WVTR,C(CMC)[T.3],-2.034334321030862,-2.914231775345291,-1.1544368667164335,2.8585228390681718e-05
WVTR,C(PVA)[T.2],-1.4090632287944245,-2.342335413836194,-0.475791043752655,0.003924347722410435
WVTR,C(PVA)[T.3],-3.550315200585333,-4.483587385627103,-2.6170430155435636,1.0749112849853171e-09
WVTR,C(Plasticizer)[T.Sorbitol],-3.2059417206428495,-3.953710768894498,-2.458172672391201,4.1798678416437914e-11
UTS,C(CMC)[T.2],-0.18578861461943774,-0.7792289493601586,0.40765172012128315,0.5315201621210239
UTS,C(CMC)[T.3],-0.4485544495469821,-1.00805536278002,0.11094646368605587,0.11336320474493444
UTS,C(PVA)[T.2],0.09783250819376256,-0.49560782654695834,0.6912728429344834,0.7414021648001692
UTS,C(PVA)[T.3],1.2088117983837203,0.6153714636429991,1.8022521331244414,0.00016923744226050646
UTS,C(Plasticizer)[T.Sorbitol],0.24642801957614685,-0.2290563261652273,0.721912365317521,0.30213286358103847
Elongasi,C(CMC)[T.2],-27.736625514403315,-69.89646574367526,14.423214714868635,0.1918394732531142
Elongasi,C(CMC)[T.3],-51.506172839506185,-91.254851399319,-11.757494279693375,0.01225637086941945
Elongasi,C(PVA)[T.2],-7.251028806584318,-49.41086903585627,34.90881142268764,0.7306539433166452
Elongasi,C(PVA)[T.3],82.84773662551444,40.68789639624247,125.00757685478641,0.0002658585872687528
Elongasi,C(Plasticizer)[T.Sorbitol],-9.746227709190709,-43.52610897852617,24.033653560144746,0.5640640835455912
