Response,Term,Partial_Eta_Squared
FTL,CMC,0.9730760480104261
FTL,PVA,0.9991102975718136
FTL,Plasticizer,0.6045365169600047
FTL,CMC:PVA,0.99604716906874
FTL,CMC:Plasticizer,0.9121694988153188
FTL,PVA:Plasticizer,0.9685273701474938
FTL,CMC:PVA:Plasticizer,0.9645025717277667
Kelarutan,CMC,0.9730760480104251
Kelarutan,PVA,0.9991102975718136
Kelarutan,Plasticizer,0.6045365169602435
Kelarutan,CMC:PVA,0.99604716906874
Kelarutan,CMC:Plasticizer,0.9121694988153297
Kelarutan,PVA:Plasticizer,0.9685273701474943
Kelarutan,CMC:PVA:Plasticizer,0.9645025717277667
Solubilitas,CMC,0.38646743152571683
Solubilitas,PVA,0.5629762767480675
Solubilitas,Plasticizer,0.6019758919740853
Opasitas,CMC,0.8363877024360532
Opasitas,PVA,0.12096425033465233
Opasitas,Plasticizer,0.04960201819485376
WVTR,CMC,0.3341904391108852
WVTR,PVA,0.5748443996119273
WVTR,Plasticizer,0.6236382600069448
UTS,CMC,0.05520235558059869
UTS,PVA,0.33151058185925564
UTS,Plasticizer,0.02364112886043044
Elongasi,CMC,0.13165884579762463
Elongasi,PVA,0.3574652418718888
Elongasi,Plasticizer,0.0074483656024897415
