Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Elongasi,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
B,1,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,3,16.666666666666664,-1.305121483555734,-1.3156794450725415,0.12500000000000003,0.04055576397235049,False
B,2,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,4,34.22222222222222,-0.988129440237084,-0.9878645460924871,0.12499999999999997,0.02324761406341078,False
B,3,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,5,37.0,-0.9379724713575509,-0.9366938241118894,0.12499999999999994,0.020947437072014078,False
C,1,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,6,56.666666666666664,-0.44838824003245065,-0.4443719571070573,0.1111111111111111,0.004188583620820804,False
C,2,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,7,69.55555555555556,-0.2174852528930819,-0.2151682860214255,0.11111111111111109,0.0009854132338743288,False
C,3,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,8,34.44444444444444,-0.8464968385486036,-0.843783421974393,0.11111111111111106,0.014928268701516256,False
D,1,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,9,114.55555555555554,-1.0254245364372525,-1.0260251173914243,0.1111111111111111,0.021906155831824047,False
D,2,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,10,207.33333333333331,0.636678862367686,0.6324197709382234,0.1111111111111111,0.008444999453871059,False
D,3,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,11,276.3333333333333,1.872806060760341,1.9285630114220573,0.1111111111111111,0.07307088627543054,False
G,1,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,12,71.11111111111111,0.30970999450354947,0.3065763565517468,0.12499999999999997,0.0022838162070330623,False
G,2,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,13,61.77777777777778,0.14118257906831763,0.13963599952455924,0.12499999999999997,0.000474583824580518,False
G,3,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,14,54.77777777777777,0.0147870174918937,0.014621829757527766,0.12499999999999997,5.206092531085006e-06,False
H,1,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,15,114.0,-0.5427355565868291,-0.5384364290261886,0.12499999999999994,0.007013378199609884,False
H,2,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,16,170.66666666666666,0.4804666085556492,0.4763214237065759,0.12499999999999994,0.005496384808023032,False
H,3,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,17,134.77777777777777,-0.1675614293679204,-0.16574088925532726,0.12499999999999994,0.0006684960145671563,False
