Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,FTL,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
A,1.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,4,14.999999999999991,0.31312209420580966,0.31016016905925203,0.3333333333333333,0.0020426134558298318,False
A,2.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,5,14.799999999999969,-1.5656104710291654,-1.5903542431501567,0.3333333333333335,0.051065336395753474,False
A,3.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,6,15.1,1.2524883768232715,1.2601357668341795,0.3333333333333331,0.032681815293278994,False
B,1.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,7,6.35,1.5656104710290488,1.5903542431500295,0.3333333333333338,0.051065336395745946,False
B,2.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,8,5.949999999999999,-2.191854659440484,-2.2863360072366716,0.3333333333333336,0.10008805933564513,True
B,3.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,9,6.25,0.6262441884116695,0.6222336561863294,0.33333333333333354,0.008170453823320645,False
C,1.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,10,2.7666666666666657,0.10437403140200191,0.10329280166917296,0.33333333333333337,0.0002269570506480434,False
C,2.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,11,2.8333333333333393,0.7306182198136546,0.7270214232221325,0.33333333333333315,0.011120895481743193,False
C,3.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,12,2.6666666666666687,-0.8349922512153521,-0.8323155435306233,0.3333333333333335,0.014525251241451714,False
D,1.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,13,2.950000000000003,-0.23484157065429886,-0.23251604422926397,0.3333333333333336,0.0011489700689037107,False
D,2.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,14,2.9999999999999973,0.23484157065434058,0.23251604422930527,0.3333333333333335,0.0011489700689041183,False
D,3.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,15,2.9749999999999996,1.6686497208293758e-14,1.6511764673806945e-14,0.3333333333333335,5.8008164392165746e-30,False
E,1.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,16,9.099999999999998,0.4696831413090983,0.46583655498506965,0.3333333333333333,0.004595880275624632,False
E,2.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,17,8.800000000000008,-2.348415706542955,-2.4700536250499914,0.33333333333333315,0.11489700689036755,True
E,3.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,18,9.249999999999991,1.8787325652351083,1.9314281214944284,0.33333333333333337,0.07353408440989356,True
F,1.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,19,8.933333333333334,0.31312209420644377,0.31016016905988003,0.33333333333333354,0.002042613455838107,False
F,2.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,20,8.833333333333337,-0.626244188410902,-0.6222336561855663,0.33333333333333376,0.008170453823300625,False
F,3.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,21,8.933333333333326,0.313122094206377,0.3101601690598138,0.3333333333333336,0.002042613455837236,False
G,1.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,22,3.775,0.2348415706546577,0.23251604422961922,0.333333333333334,0.0011489700689072237,False
G,2.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,23,3.8250000000000006,0.7045247119633558,0.7007799907141515,0.333333333333334,0.010340730620146892,False
G,3.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,24,3.650000000000003,-0.9393662826170415,-0.9381933659697487,0.33333333333333404,0.018383521102453376,False
H,1.0,2.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,25,2.8600000000000003,5.256246620612534e-13,5.201205872249187e-13,0.33333333333333376,5.755860111812653e-27,False
H,2.0,2.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,26,2.9000000000000004,0.3757465130474789,0.37235991234876975,0.33333333333333376,0.002941363376402906,False
H,3.0,2.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,27,2.8200000000000047,-0.37574651304638595,-0.3723599123476866,0.33333333333333376,0.0029413633763857947,False
