Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Kelarutan,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
A,1.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,4,85.00000000000001,-0.3131220942021718,-0.3101601690556484,0.3333333333333333,0.0020426134557823693,False
A,2.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,5,85.20000000000003,1.565610471032752,1.590354243153798,0.3333333333333335,0.051065336395987454,False
A,3.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,6,84.9,-1.252488376819633,-1.2601357668305175,0.3333333333333331,0.03268181529308911,False
B,1.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,7,93.65,-1.5656104710247427,-1.5903542431456528,0.3333333333333338,0.05106533639546504,False
B,2.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,8,94.05,2.191854659444705,2.286336007241069,0.3333333333333336,0.10008805933603059,True
B,3.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,9,93.75,-0.626244188407414,-0.622233656182101,0.33333333333333354,0.008170453823209604,False
C,1.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,10,97.23333333333332,-0.10437403139827658,-0.10329280166548618,0.33333333333333337,0.00022695705063184227,False
C,2.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,11,97.16666666666666,-0.7306182198098287,-0.7270214232183247,0.33333333333333315,0.011120895481626723,False
C,3.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,12,97.33333333333331,0.8349922512190517,0.8323155435343105,0.3333333333333335,0.014525251241580427,False
D,1.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,13,97.05,0.23484157065760267,0.232516044232535,0.3333333333333336,0.0011489700689360385,False
D,2.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,14,97.0,-0.23484157065106154,-0.23251604422605868,0.3333333333333335,0.0011489700688720327,False
