Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Opasitas,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
B,1,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,3,1.4939759036144578,0.510252672232635,0.5060173090275843,0.12500000000000003,0.006198994988584403,False
B,2,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,4,1.5180722891566265,0.6514365069011154,0.6472166541706832,0.12499999999999997,0.010104036250560165,False
B,3,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,5,1.469879518072289,0.36906883756415465,0.36549862240340497,0.12499999999999994,0.003243138258594198,False
C,1,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,6,1.631578947368421,0.5687794239291877,0.564456778346828,0.1111111111111111,0.006739792355942054,False
C,2,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,7,1.6578947368421053,0.7217576995922457,0.7178602983853196,0.11111111111111109,0.01085279535251438,False
C,3,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,8,1.6052631578947367,0.4158011482661295,0.4119472945977098,0.11111111111111106,0.0036018873937381612,False
D,1,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,9,1.8095238095238095,1.4553966971350807,1.4742499312461026,0.1111111111111111,0.04412874054232712,False
D,2,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,10,1.8333333333333337,1.5938056132111824,1.6224555288578029,0.1111111111111111,0.05292117359798903,False
D,3,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,11,1.7857142857142858,1.3169877810589814,1.328119042422019,0.1111111111111111,0.036134516988722075,False
G,1,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,12,1.8584070796460177,-0.7141224996322378,-0.7101788102471962,0.12499999999999997,0.012142165344785606,False
G,2,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,13,1.8761061946902653,-0.6104210989465413,-0.6061151642047268,0.12499999999999997,0.008871759953311978,False
G,3,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,14,1.8407079646017697,-0.817823900317937,-0.8147635071209957,0.12499999999999997,0.01592466504598197,False
H,1,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,15,1.9402985074626864,-0.38328576116741275,-0.3796232740295964,0.12499999999999994,0.003497808921754355,False
H,2,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,16,1.958955223880597,-0.27397365036998833,-0.271138624878622,0.12499999999999994,0.0017871800261203949,False
H,3,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,17,1.921641791044776,-0.49259787196483584,-0.48841242096394755,0.12499999999999994,0.0057774443681972544,False
J,1,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,18,2.142857142857143,-1.0918590249830933,-1.0942510376710772,0.125,0.028384669772310262,False
J,2,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,19,2.157142857142857,-1.0081571801439235,-1.0083448975807516,0.125,0.024199545235136847,False
J,3,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,20,2.128571428571428,-1.175560869822266,-1.180696575820241,0.125,0.032903413301363864,False
K,1,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,21,2.347826086956522,-0.6291567649518931,-0.6248812849218277,0.11111111111111112,0.008246629893431912,False
K,2,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,22,2.3043478260869565,-0.8819034812647719,-0.8796846136579127,0.11111111111111112,0.01620320313056092,False
K,3,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,23,2.391304347826087,-0.3764100486390167,-0.372791555939122,0.11111111111111112,0.0029517609315922286,False
