Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Solubilitas,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
B,1,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,3,0.6202531645569617,0.8555877559052605,0.8529942382519355,0.12500000000000003,0.017429295429880948,False
B,2,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,4,0.617283950617285,0.799914040705482,0.7966603747060463,0.12499999999999997,0.01523482077423265,False
B,3,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,5,0.6351351351351363,1.134629484933048,1.1383531268275686,0.12499999999999994,0.03065200162093889,False
C,1,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,6,0.5918367346938772,1.7331025997975742,1.773964035566253,0.1111111111111111,0.06257592961302313,False
C,2,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,7,0.6041666666666686,1.9624795008051283,2.0293340561489583,0.11111111111111109,0.08023595398084052,True
C,3,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,8,0.5918367346938772,1.7331025997975742,1.7739640355662532,0.11111111111111106,0.0625759296130231,False
D,1,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,9,0.3813559322033902,-0.7475013268397718,-0.7437812284419899,0.1111111111111111,0.011640796533900403,False
D,2,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,10,0.3750000000000003,-0.865742371076258,-0.8632885259189402,0.1111111111111111,0.01561478860576544,False
D,3,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,11,0.3697478991596642,-0.9634485560895981,-0.9626637921342452,0.1111111111111111,0.01933819000481524,False
G,1,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,12,0.5217391304347838,1.3074035144065899,1.318070687693386,0.12499999999999997,0.04069771308292147,False
G,2,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,13,0.5289855072463773,1.4432754074514096,1.4613730495111326,0.12499999999999997,0.049596283375095994,False
G,3,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,14,0.5214285714285702,1.3015804332760519,1.311969906267515,0.12499999999999997,0.04033599105445415,False
H,1,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,15,0.3359375000000003,-0.7300678306100653,-0.7262240558496876,0.12499999999999994,0.012690453268849683,False
H,2,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,16,0.3333333333333327,-0.7788967921730695,-0.7754386467409055,0.12499999999999994,0.014444766972797562,False
H,3,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,17,0.3333333333333327,-0.7788967921730695,-0.7754386467409055,0.12499999999999994,0.014444766972797562,False
J,1,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,18,0.4032786885245903,-1.317128894233295,-1.3282670540961716,0.125,0.04130544104819577,False
J,2,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,19,0.3933333333333327,-1.5036074989171375,-1.5256250370583728,0.125,0.053829416923805946,False
J,3,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,20,0.4072847682119203,-1.2420136131820698,-1.2497432897366743,0.125,0.036728519412609045,False
K,1,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,21,0.345,-0.9781081635212815,-0.9776271957068039,0.11111111111111112,0.019931157907228627,False
K,2,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,22,0.3383084577114428,-1.1025926486341993,-1.105305364166876,0.11111111111111112,0.025327303100462068,False
K,3,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,23,0.3399999999999994,-1.071124451653993,-1.0729219750268766,0.11111111111111112,0.023902241477730575,False
L,1,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,24,0.3177083333333333,-0.05079740204482938,-0.05023125568562836,0.11111111111111112,5.375783446883411e-05,False
L,2,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,25,0.3177083333333333,-0.05079740204482938,-0.05023125568562836,0.11111111111111112,5.375783446883411e-05,False
L,3,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,26,0.3157894736842111,-0.08649444244662215,-0.08553510419971475,0.11111111111111112,0.00015586017862816734,False
B,1,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,30,0.6886792452830155,-0.35722832766106993,-0.35373875092841306,0.11265432098765432,0.0027001975942311032,False
B,2,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,31,0.6822429906542054,-0.47706770309640384,-0.47293465193888085,0.11265432098765432,0.0048157484967102995,False
B,3,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,32,0.6886792452830196,-0.35722832766099344,-0.3537387509283372,0.11265432098765432,0.0027001975942299466,False
C,1,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,33,0.5789473684210523,-0.9888644075494176,-0.988615631443915,0.11728395061728393,0.02165408334946754,False
C,2,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,34,0.5740740740740716,-1.0798399955628946,-1.0818834198774108,0.11728395061728393,0.025821717837212314,False
C,3,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,35,0.5689655172413809,-1.1752075085148361,-1.1803304316078895,0.11728395061728393,0.030584080505038833,False
D,1,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,36,0.5263157894736837,-0.5313672632283601,-0.5270862079189319,0.11728395061728397,0.0062525317018474955,False
D,2,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,37,0.5352112676056318,-0.36530478144611567,-0.3617598336579848,0.11728395061728397,0.002955132964569339,False
D,3,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,38,0.5384615384615409,-0.30462810541020147,-0.30153540380158556,0.11728395061728397,0.0020549736241379578,False
F,1,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,39,0.6449704142011845,-0.3062375962282582,-0.30313187280059367,0.13580246913580243,0.0024561812351911387,False
F,2,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,40,0.6449704142011832,-0.30623759622828334,-0.3031318728006185,0.13580246913580243,0.002456181235191542,False
F,3,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,41,0.6529411764705899,-0.1558520543686801,-0.15415224533494948,0.13580246913580243,0.0006361630746674241,False
