Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,UTS,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
B,1,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,3,0.3012048192771084,-1.4782599440375765,-1.4985817991131696,0.12500000000000003,0.05202982052728522,False
B,2,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,4,0.36144578313253,-1.4009834178165272,-1.4165669323721373,0.12499999999999997,0.04673225088087804,False
B,3,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,5,0.180722891566265,-1.6328129964796756,-1.6646331366233968,0.12499999999999994,0.06347805432078418,False
C,1,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,6,1.0526315789473684,-0.6348171594955565,-0.6305537868798181,0.1111111111111111,0.00839568387479181,False
C,2,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,7,1.5789473684210529,0.035040250641297656,0.03464919987514657,0.11111111111111109,2.5579565937603344e-05,False
C,3,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,8,1.0526315789473684,-0.6348171594955565,-0.6305537868798181,0.11111111111111106,0.008395683874791806,False
D,1,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,9,3.333333333333333,0.8539226353503916,0.8513067949918964,0.1111111111111111,0.01519133056591162,False
D,2,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,10,4.285714285714286,2.066045567978984,2.147342245950809,0.1111111111111111,0.08892800602011675,True
D,3,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,11,4.761904761904762,2.6721070342932807,2.880651883427299,0.1111111111111111,0.148753250056659,True
G,1,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,12,1.7699115044247786,0.5186120402662295,0.5143567317760563,0.12499999999999997,0.006403772578788124,False
G,2,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,13,1.7699115044247786,0.5186120402662295,0.5143567317760563,0.12499999999999997,0.006403772578788124,False
G,3,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,14,0.8849557522123893,-0.616600645812905,-0.6123031393468102,0.12499999999999997,0.009052294200402175,False
H,1,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,15,1.8656716417910448,-0.7837012771564125,-0.7802877818937308,0.12499999999999994,0.014623516471823614,False
H,2,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,16,1.4925373134328357,-1.2623543873315701,-1.2709557806287504,0.12499999999999994,0.03794139521941103,False
