Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,WVTR,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
B,1,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,3,12.992251226485246,1.471117571079132,1.4909744921317565,0.12500000000000003,0.051528259712803934,False
B,2,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,4,11.548667756874066,0.29360292381989156,0.29060081432991625,0.12499999999999997,0.0020524446875140245,False
B,3,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,5,12.118887521193257,0.7587247119097812,0.7550923860022167,0.12499999999999994,0.013706266391966196,False
C,1,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,6,10.82687602207104,0.8475027481971958,0.8448023612118447,0.1111111111111111,0.014963768920870825,False
C,2,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,7,12.270459491677093,2.0157818438620057,2.089843947655121,0.11111111111111109,0.08465367587591055,True
C,3,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,8,11.017766318618635,1.0019885453244455,1.002033877508036,0.11111111111111106,0.020916271770029124,False
D,1,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,9,7.21791734804565,-0.34029906229015605,-0.3369305282631349,0.1111111111111111,0.00241257191240749,False
D,2,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,10,6.496125613242623,-0.9244386101225617,-0.9229148220398283,0.1111111111111111,0.01780389049761112,False
D,3,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,11,5.774333878439597,-1.5085781579549666,-1.5309366674519445,0.1111111111111111,0.047412667888725,False
G,1,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,12,11.548667756879194,1.9559565216404815,2.0219609804352308,0.12499999999999997,0.09108966463209359,True
G,2,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,13,10.105084287268014,0.7784418743812412,0.7749795648720759,0.12499999999999997,0.014427898852147143,False
G,3,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,14,11.361457051120356,1.8032508743431024,1.851241865527316,0.12499999999999997,0.07742175513855148,False
H,1,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,15,5.774333878439597,-1.0075071434869753,-1.0076797307969738,0.12499999999999994,0.024168348670887723,False
H,2,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,16,6.496125613242623,-0.41874981985944665,-0.41488002414965014,0.12499999999999994,0.004175033610293308,False
H,3,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,17,5.508883159311765,-1.2240322814360196,-1.2310221599276847,0.12499999999999994,0.0356727387142254,False
J,1,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,18,8.661500817656831,-0.40204296068540935,-0.3982666434840663,0.125,0.0038485367199211813,False
J,2,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,19,7.21791734804565,-1.5795576079446505,-1.6070959589926177,0.125,0.05940481516228156,False
J,3,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,20,7.939709082853805,-0.990800284312938,-0.9905941406463338,0.125,0.02337345722368092,False
K,1,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,21,6.496125613242623,-1.0109661015842364,-1.0112195410370535,0.11111111111111112,0.0212927595531756,False
K,2,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,22,5.774333878439597,-1.5951056494166413,-1.6238582115353002,0.11111111111111112,0.053007542350018456,False
K,3,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,23,7.574304700745111,-0.13840548016352952,-0.13688814077795705,0.11111111111111112,0.00039908493623535765,False
L,1,3,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,24,5.774333878439597,0.13779027926633486,0.1362794269300247,0.11111111111111112,0.00039554502208946987,False
