Response,Model_Type,Formula,CMC_p,PVA_p,Plas_p,CMC_pes,PVA_pes,Plas_pes,Status,Formulation_p,Formulation_pes
Solubilitas,A (Main Effects),C(CMC) + C(PVA) + C(Plasticizer),1.68401705322633e-05,8.15385127930439e-09,1.4968403524972428e-10,0.38646743152571683,0.5629762767480675,0.6019758919740853,Success,,
Solubilitas,B (Formulation + Plasticizer),C(Formulation) + C(Plasticizer),,,2.2402291141203817e-11,,,0.6683192187000907,Success,4.871436071988133e-10,0.7468349986411587
Solubilitas,C (Stratified: Sorbitol),C(CMC) + C(PVA),3.4752347864484676e-07,4.961718255969804e-07,,0.7910205437587566,0.783038674083764,,Success,,
Solubilitas,C (Stratified: Gliserol),C(CMC) + C(PVA),0.020741670142880284,4.999015277050987e-13,,0.29695067917169693,0.9238417827253883,,Success,,
Opasitas,A (Main Effects),C(CMC) + C(PVA) + C(Plasticizer),2.0457790447138708e-18,0.05497270421355974,0.132397652015147,0.8363877024360532,0.12096425033465233,0.04960201819485376,Success,,
Opasitas,B (Formulation + Plasticizer),C(Formulation) + C(Plasticizer),,,0.07924248855586924,,,0.07322715102845019,Success,2.810994819683192e-16,0.8771302923184936
Opasitas,C (Stratified: Sorbitol),C(CMC) + C(PVA),1.3674730843956623e-19,2.9449703911195335e-12,,0.9896650771081138,0.9388749755921219,,Success,,
Opasitas,C (Stratified: Gliserol),C(CMC) + C(PVA),1.2097947047356426e-11,0.2545757003092191,,0.8982535551011572,0.11695393653142167,,Success,,
WVTR,A (Main Effects),C(CMC) + C(PVA) + C(Plasticizer),0.00010601702498220357,4.388618656058949e-09,4.179867841643781e-11,0.3341904391108852,0.5748443996119273,0.6236382600069448,Success,,
WVTR,B (Formulation + Plasticizer),C(Formulation) + C(Plasticizer),,,1.0021111189055542e-11,,,0.6809470009862009,Success,2.352971932223642e-09,0.7255337623921738
WVTR,C (Stratified: Sorbitol),C(CMC) + C(PVA),4.734484866399167e-05,1.7564133263286576e-06,,0.6494374245628773,0.7521600949360465,,Success,,
WVTR,C (Stratified: Gliserol),C(CMC) + C(PVA),0.12478109195781943,1.879300609995772e-07,,0.17237860829906854,0.7553500597296047,,Success,,
UTS,A (Main Effects),C(CMC) + C(PVA) + C(Plasticizer),0.2786910622544934,0.00011604517348887663,0.30213286358103897,0.05520235558059869,0.33151058185925564,0.02364112886043044,Success,,
UTS,B (Formulation + Plasticizer),C(Formulation) + C(Plasticizer),,,0.019981064130580827,,,0.12509442251702,Success,4.1619253763398565e-10,0.7488650006694597
UTS,C (Stratified: Sorbitol),C(CMC) + C(PVA),0.09180058021142924,6.456044847486108e-05,,0.22227540340103707,0.6378038362049046,,Success,,
UTS,C (Stratified: Gliserol),C(CMC) + C(PVA),0.027083606546069294,0.003810616829786821,,0.2796911141070825,0.3973148646966835,,Success,,
Elongasi,A (Main Effects),C(CMC) + C(PVA) + C(Plasticizer),0.04173819376499317,4.7607358325768356e-05,0.5640640835455913,0.13165884579762463,0.3574652418718888,0.0074483656024897415,Success,,
Elongasi,B (Formulation + Plasticizer),C(Formulation) + C(Plasticizer),,,0.9164165846664383,,,0.0002718980705669755,Success,6.35200020451702e-11,0.7718167646282595
Elongasi,C (Stratified: Sorbitol),C(CMC) + C(PVA),0.8078562800614677,0.0004447879280829253,,0.02220976596401266,0.5562135896441328,,Success,,
Elongasi,C (Stratified: Gliserol),C(CMC) + C(PVA),0.03690795125399949,0.023047747189487364,,0.2591365388627945,0.2901803075300925,,Success,,
