Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Elongasi
B,1,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,3,16.666666666666664
B,2,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,4,34.22222222222222
B,3,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,5,37.0
C,1,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,6,56.666666666666664
C,2,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,7,69.55555555555556
C,3,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,8,34.44444444444444
D,1,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,9,114.55555555555554
D,2,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,10,207.33333333333331
D,3,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,11,276.3333333333333
G,1,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,12,71.11111111111111
G,2,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,13,61.77777777777778
G,3,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,14,54.77777777777777
H,1,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,15,114.0
H,2,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,16,170.66666666666666
H,3,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,17,134.77777777777777
J,1,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,18,104.55555555555556
J,2,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,19,40.77777777777778
J,3,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,20,70.77777777777779
K,1,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,21,55.77777777777778
K,2,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,22,81.44444444444444
K,3,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,23,63.33333333333333
L,1,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,24,66.11111111111111
L,2,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,25,105.88888888888889
L,3,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,26,142.55555555555557
B,1,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,31,38.0
B,2,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,32,46.333333333333336
B,3,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,33,31.444444444444446
C,1,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,34,88.88888888888889
C,2,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,35,84.0
C,3,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,36,90.0
D,1,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,37,366.55555555555554
D,2,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,38,227.22222222222223
