Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,FTL
A,1.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,4,14.999999999999991
A,2.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,5,14.799999999999969
A,3.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,6,15.1
B,1.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,7,6.35
B,2.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,8,5.949999999999999
B,3.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,9,6.25
C,1.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,10,2.7666666666666657
C,2.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,11,2.8333333333333393
C,3.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,12,2.6666666666666687
D,1.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,13,2.950000000000003
D,2.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,14,2.9999999999999973
D,3.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,15,2.9749999999999996
E,1.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,16,9.099999999999998
E,2.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,17,8.800000000000008
E,3.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,18,9.249999999999991
F,1.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,19,8.933333333333334
F,2.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,20,8.833333333333337
F,3.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,21,8.933333333333326
G,1.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,22,3.775
G,2.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,23,3.8250000000000006
G,3.0,2.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,24,3.650000000000003
