Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Opasitas
B,1,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,3,1.4939759036144578
B,2,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,4,1.5180722891566265
B,3,1,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,5,1.469879518072289
C,1,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,6,1.631578947368421
C,2,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,7,1.6578947368421053
C,3,1,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,8,1.6052631578947367
D,1,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,9,1.8095238095238095
D,2,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,10,1.8333333333333337
D,3,1,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,11,1.7857142857142858
G,1,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,12,1.8584070796460177
G,2,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,13,1.8761061946902653
G,3,2,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,14,1.8407079646017697
H,1,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,15,1.9402985074626864
H,2,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,16,1.958955223880597
H,3,2,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,17,1.921641791044776
J,1,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,18,2.142857142857143
J,2,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,19,2.157142857142857
J,3,3,1,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,20,2.128571428571428
K,1,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,21,2.347826086956522
K,2,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,22,2.3043478260869565
K,3,3,2,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,23,2.391304347826087
L,1,3,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,24,2.526315789473684
L,2,3,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,25,2.5473684210526315
L,3,3,3,Sorbitol,pengujian (ANOVA)_Opasitas,Opasitas,Sorbitol,26,2.5105263157894737
B,1,1,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,30,1.3541666666666667
B,2,1,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,31,1.3958333333333337
B,3,1,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,32,1.3125
C,1,1,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,33,1.523809523809524
C,2,1,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,34,1.542857142857143
C,3,1,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,35,1.5047619047619047
D,1,1,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,36,0.9466666666666668
