Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Solubilitas
B,1,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,3,0.6202531645569617
B,2,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,4,0.617283950617285
B,3,1,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,5,0.6351351351351363
C,1,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,6,0.5918367346938772
C,2,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,7,0.6041666666666686
C,3,1,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,8,0.5918367346938772
D,1,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,9,0.3813559322033902
D,2,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,10,0.3750000000000003
D,3,1,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,11,0.3697478991596642
G,1,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,12,0.5217391304347838
G,2,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,13,0.5289855072463773
G,3,2,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,14,0.5214285714285702
H,1,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,15,0.3359375000000003
H,2,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,16,0.3333333333333327
H,3,2,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,17,0.3333333333333327
J,1,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,18,0.4032786885245903
J,2,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,19,0.3933333333333327
J,3,3,1,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,20,0.4072847682119203
K,1,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,21,0.345
K,2,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,22,0.3383084577114428
K,3,3,2,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,23,0.3399999999999994
L,1,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,24,0.3177083333333333
L,2,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,25,0.3177083333333333
L,3,3,3,Sorbitol,pengujian (ANOVA)_Solubilitas,Solubilitas,Sorbitol,26,0.3157894736842111
B,1,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,30,0.6886792452830155
B,2,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,31,0.6822429906542054
B,3,1,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,32,0.6886792452830196
C,1,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,33,0.5789473684210523
C,2,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,34,0.5740740740740716
C,3,1,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,35,0.5689655172413809
D,1,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,36,0.5263157894736837
D,2,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,37,0.5352112676056318
D,3,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,38,0.5384615384615409
F,1,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,39,0.6449704142011845
F,2,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,40,0.6449704142011832
F,3,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,41,0.6529411764705899
G,1,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,42,0.562500000000001
G,2,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,43,0.5555555555555551
G,3,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,44,0.5432098765432081
H,1,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,45,0.513513513513516
H,2,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,46,0.5256410256410267
H,3,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,47,0.5263157894736837
J,1,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,48,0.6648936170212769
J,2,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,49,0.6631016042780752
J,3,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,50,0.6648936170212769
K,1,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,51,0.5094339622641505
K,2,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,52,0.5096774193548411
K,3,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,53,0.5031055900621114
L,1,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,54,0.5531914893617017
L,2,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,55,0.5543478260869573
L,3,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,56,0.5473684210526347
