Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,UTS
B,1,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,3,0.3012048192771084
B,2,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,4,0.36144578313253
B,3,1,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,5,0.180722891566265
C,1,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,6,1.0526315789473684
C,2,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,7,1.5789473684210529
C,3,1,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,8,1.0526315789473684
D,1,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,9,3.333333333333333
D,2,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,10,4.285714285714286
D,3,1,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,11,4.761904761904762
G,1,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,12,1.7699115044247786
G,2,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,13,1.7699115044247786
G,3,2,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,14,0.8849557522123893
H,1,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,15,1.8656716417910448
H,2,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,16,1.4925373134328357
H,3,2,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,17,1.4925373134328357
J,1,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,18,0.9523809523809524
J,2,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,19,0.4761904761904761
J,3,3,1,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,20,0.9523809523809524
K,1,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,21,2.6086956521739126
K,2,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,22,1.7391304347826084
K,3,3,2,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,23,1.7391304347826084
L,1,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,24,2.6315789473684212
L,2,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,25,2.1052631578947367
L,3,3,3,Sorbitol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Sorbitol,26,2.1052631578947367
B,1,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,31,0.9375
B,2,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,32,1.5416666666666667
B,3,1,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,33,0.2083333333333333
C,1,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,34,0.9523809523809524
C,2,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,35,0.9523809523809524
C,3,1,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,36,0.9523809523809524
D,1,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,37,3.3333333333333335
D,2,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,38,3.3333333333333335
D,3,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,39,2.6666666666666665
F,1,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,40,2.1052631578947367
F,2,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,41,2.1052631578947367
F,3,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,42,2.1052631578947367
G,1,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,43,0.8333333333333334
G,2,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,44,1.6666666666666667
G,3,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,45,0.8333333333333334
H,1,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,46,2.142857142857143
H,2,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,47,1.4285714285714284
H,3,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,48,2.142857142857143
J,1,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,49,1.36986301369863
J,2,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,50,1.36986301369863
J,3,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,51,1.36986301369863
K,1,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,52,0.5050505050505051
K,2,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,53,0.5050505050505051
K,3,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,54,0.5050505050505051
L,1,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,55,0.9259259259259258
L,2,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,56,0.9259259259259258
L,3,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,57,0.9259259259259258
