Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,WVTR
B,1,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,3,12.992251226485246
B,2,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,4,11.548667756874066
B,3,1,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,5,12.118887521193257
C,1,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,6,10.82687602207104
C,2,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,7,12.270459491677093
C,3,1,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,8,11.017766318618635
D,1,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,9,7.21791734804565
D,2,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,10,6.496125613242623
D,3,1,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,11,5.774333878439597
G,1,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,12,11.548667756879194
G,2,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,13,10.105084287268014
G,3,2,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,14,11.361457051120356
H,1,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,15,5.774333878439597
H,2,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,16,6.496125613242623
H,3,2,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,17,5.508883159311765
J,1,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,18,8.661500817656831
J,2,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,19,7.21791734804565
J,3,3,1,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,20,7.939709082853805
K,1,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,21,6.496125613242623
K,2,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,22,5.774333878439597
K,3,3,2,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,23,7.574304700745111
L,1,3,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,24,5.774333878439597
L,2,3,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,25,4.820272764394736
L,3,3,3,Sorbitol,pengujian (ANOVA)_WVTR,WVTR,Sorbitol,26,6.496125613242623
B,1,1,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,30,14.391178931422708
B,2,1,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,31,14.460818293184207
B,3,1,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,32,12.992251226480118
C,1,1,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,33,12.992251226485246
C,2,1,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,34,11.361457051120356
C,3,1,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,35,11.548667756874066
D,1,1,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,36,11.017766318618635
D,2,1,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,37,10.105084287268014
D,3,1,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,38,11.361457051120356
F,1,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,39,13.7140429612934
F,2,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,40,12.27045949168222
F,3,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,41,13.772207898272072
G,1,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,42,12.118887521193257
G,2,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,43,10.82687602207104
G,3,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,44,12.27045949168222
H,1,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,45,10.105084287262883
H,2,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,46,11.017766318618635
H,3,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,47,10.60402658104746
J,1,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,48,12.992251226485246
J,2,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,49,14.435834696096428
J,3,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,50,13.083597503359936
K,1,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,51,10.60402658104746
K,2,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,52,10.82687602206591
K,3,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,53,9.383292552459858
L,1,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,54,10.329155923701608
L,2,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,55,11.361457051120356
L,3,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,56,10.105084287268014
