Sheet,Response,Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Value
Kelarutan Matriks,FTL,A,1.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,4,14.999999999999991
Kelarutan Matriks,FTL,A,2.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,5,14.799999999999969
Kelarutan Matriks,FTL,A,3.0,1.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,6,15.1
Kelarutan Matriks,FTL,B,1.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,7,6.35
Kelarutan Matriks,FTL,B,2.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,8,5.949999999999999
Kelarutan Matriks,FTL,B,3.0,1.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,9,6.25
Kelarutan Matriks,FTL,C,1.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,10,2.7666666666666657
Kelarutan Matriks,FTL,C,2.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,11,2.8333333333333393
Kelarutan Matriks,FTL,C,3.0,1.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,12,2.6666666666666687
Kelarutan Matriks,FTL,D,1.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,13,2.950000000000003
Kelarutan Matriks,FTL,D,2.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,14,2.9999999999999973
Kelarutan Matriks,FTL,D,3.0,1.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,15,2.9749999999999996
Kelarutan Matriks,FTL,E,1.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,16,9.099999999999998
Kelarutan Matriks,FTL,E,2.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,17,8.800000000000008
Kelarutan Matriks,FTL,E,3.0,2.0,0.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,18,9.249999999999991
Kelarutan Matriks,FTL,F,1.0,2.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,19,8.933333333333334
