Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
Elongasi,CMC,1,18,119.01851851851853,110.50067117308498,26.04525797071775,16.666666666666664,366.55555555555554,67.96981289591174,170.06722414112534
Elongasi,CMC,2,15,97.29629629629629,41.80659396836514,10.794416146742241,42.55555555555555,170.66666666666666,76.1392406486815,118.45335194391109
Elongasi,CMC,3,18,67.51234567901234,28.619004276766745,6.745563998302857,28.88888888888889,142.55555555555557,54.29104024233874,80.73365111568594
Elongasi,PVA,1,15,68.64444444444443,43.98611292796243,11.35716552229315,16.666666666666664,161.11111111111111,46.38440002074986,90.904488868139
Elongasi,PVA,2,18,60.15432098765432,17.948167884559396,4.230423740348854,28.88888888888889,90.0,51.86269045657057,68.44595151873807
Elongasi,PVA,3,18,150.2530864197531,94.0094929117502,22.15824997793575,53.0,366.55555555555554,106.82291646299902,193.68325637650716
Elongasi,Plasticizer,Gliserol,27,97.47736625514402,84.2359031737053,16.211207124256667,28.88888888888889,366.55555555555554,65.70340029160096,129.25133221868708
Elongasi,Plasticizer,Sorbitol,24,91.04629629629629,60.793411484656325,12.40940315503856,16.666666666666664,276.3333333333333,66.72386611242071,115.36872648017187
Elongasi,Formulation,B,6,33.94444444444444,9.83989109645648,4.017118718478945,16.666666666666664,46.333333333333336,26.070891756225713,41.81799713266317
Elongasi,Formulation,C,6,70.5925925925926,21.876270098342584,8.930949869374086,34.44444444444444,90.0,53.087930848619386,88.09725433656581
Elongasi,Formulation,D,6,252.5185185185185,89.74440157006299,36.63799851968064,114.55555555555554,366.55555555555554,180.70804141994444,324.3289956170926
Elongasi,Formulation,F,3,139.4814814814815,18.73180873370786,10.814814814814817,128.66666666666666,161.11111111111111,118.28444444444446,160.67851851851853
Elongasi,Formulation,G,6,56.388888888888886,9.674390273319235,3.9495532903628026,42.55555555555555,71.11111111111111,48.647764439777795,64.13001333799998
Elongasi,Formulation,H,6,117.1111111111111,33.359619265376274,13.619007535615214,72.88888888888889,170.66666666666666,90.41785634130528,143.80436588091692
Elongasi,Formulation,J,6,67.92592592592592,26.906208074007953,10.984413449078737,36.666666666666664,104.55555555555556,46.3964755657316,89.45537628612024
Elongasi,Formulation,K,6,53.481481481481474,17.941697989570862,7.324667532261233,28.88888888888889,81.44444444444444,39.12513311824946,67.8378298447135
Elongasi,Formulation,L,6,81.12962962962963,35.776426245463924,14.60566485361713,53.0,142.55555555555557,52.50252651654006,109.75673274271921
Elongasi,Formulation x Plasticizer,B_Gliserol,3,38.592592592592595,7.462112808850886,4.308252838913414,31.444444444444446,46.333333333333336,30.148417028322307,47.036768156862884
Elongasi,Formulation x Plasticizer,B_Sorbitol,3,29.296296296296294,11.025410231909424,6.36552356531896,16.666666666666664,37.0,16.819870108271132,41.772722484321456
Elongasi,Formulation x Plasticizer,C_Gliserol,3,87.62962962962963,3.192068359468923,1.8429415266110698,84.0,90.0,84.01746423747194,91.24179502178733
Elongasi,Formulation x Plasticizer,C_Sorbitol,3,53.55555555555555,17.7611032912783,10.254377766324275,34.44444444444444,69.55555555555556,33.45697513355997,73.65413597755114
