Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
FTL,CMC,1.0,24,7.063888888888889,4.855354424359912,0.9910950716705439,2.1999999999999966,15.1,5.121342548414623,9.006435229363156
FTL,CMC,2.0,24,5.854722222222222,2.8804698299450773,0.5879734419039061,2.2799999999999976,10.033333333333331,4.702294276090566,7.007150168353878
FTL,CMC,3.0,24,7.323333333333333,4.406826034742362,0.8995395975276067,2.2333333333333356,13.800000000000004,5.5602357221792245,9.086430944487443
FTL,PVA,0.0,18,11.645370370370369,3.807589623849398,0.8974574809998151,4.449999999999998,15.1,9.88635370761073,13.404387033130007
FTL,PVA,1.0,18,8.571296296296294,1.3078140664997042,0.3082547316510318,5.949999999999999,10.033333333333331,7.967117022260272,9.175475570332317
FTL,PVA,2.0,18,4.091296296296296,0.9035343737571009,0.21296509423959556,2.6666666666666687,5.499999999999994,3.6738847115866884,4.508707881005903
FTL,PVA,3.0,18,2.6812962962962965,0.45347372233484595,0.10688478138429172,2.1999999999999966,3.4999999999999996,2.4718021247830846,2.8907904678095084
FTL,Plasticizer,Gliserol,36,6.615694444444445,4.064784563982122,0.6774640939970203,2.1999999999999966,14.700000000000024,5.287864820210285,7.943524068678605
FTL,Plasticizer,Sorbitol,36,6.878935185185183,4.241511376197067,0.7069185626995113,2.6666666666666687,15.1,5.493374802294141,8.264495568076224
FTL,Formulation,A,6,14.65,0.4415880433163827,0.18027756377319554,13.900000000000023,15.1,14.296655975004537,15.003344024995464
FTL,Formulation,B,6,7.175,1.0985217339679727,0.4484696199298234,5.949999999999999,8.299999999999997,6.295999544937546,8.054000455062454
FTL,Formulation,C,6,3.8222222222222215,1.170881276203081,0.47801027934605406,2.6666666666666687,4.966666666666667,2.8853220747039554,4.759122369740488
FTL,Formulation,D,6,2.608333333333333,0.40455737129196756,0.16515985522450005,2.1999999999999966,2.9999999999999973,2.284620017093313,2.932046649573353
FTL,Formulation,E,6,6.808333333333333,2.4607756229828555,1.0046074412978983,4.449999999999998,9.249999999999991,4.839302748389452,8.777363918277214
FTL,Formulation,F,6,9.405555555555553,0.561512507693545,0.2292365213399665,8.833333333333337,10.033333333333331,8.956251973729218,9.854859137381888
FTL,Formulation,G,6,4.608333333333333,0.9421606374003662,0.38463546956104305,3.650000000000003,5.499999999999994,3.8544478129936888,5.362218853672978
FTL,Formulation,H,6,2.596666666666667,0.2913188402192132,0.11893041849940907,2.2799999999999976,2.9000000000000004,2.363563046407825,2.829770286925509
FTL,Formulation,I,6,13.477777777777776,0.3208784239598582,0.1309980680283508,13.1,13.800000000000004,13.221021564442209,13.734533991113343
FTL,Formulation,J,6,9.133333333333333,0.8598934042465151,0.35105001226479127,8.274999999999999,9.949999999999998,8.445275309294342,9.821391357372324
FTL,Formulation,K,6,3.8433333333333324,0.18864428606948436,0.07701370729364293,3.5800000000000054,4.019999999999997,3.6923864670377924,3.9942801996288724
FTL,Formulation,L,6,2.838888888888889,0.6370650295314062,0.260080709220507,2.2333333333333356,3.4999999999999996,2.3291306988166953,3.3486470789610827
FTL,Formulation x Plasticizer,A_Gliserol,3,14.333333333333348,0.4041451884327357,0.233333333333332,13.900000000000023,14.700000000000024,13.876000000000017,14.790666666666679
