Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
Kelarutan,CMC,1.0,24,92.93611111111112,4.855354424359909,0.9910950716705433,84.9,97.8,90.99356477063685,94.87865745158538
Kelarutan,CMC,2.0,24,94.14527777777778,2.880469829945074,0.5879734419039054,89.96666666666667,97.72,92.99284983164613,95.29770572390943
Kelarutan,CMC,3.0,24,92.67666666666668,4.40682603474236,0.8995395975276064,86.19999999999999,97.76666666666668,90.91356905551257,94.43976427782079
Kelarutan,PVA,0.0,18,88.35462962962964,3.8075896238494,0.8974574809998155,84.9,95.55,86.59561296687001,90.11364629238928
Kelarutan,PVA,1.0,18,91.4287037037037,1.3078140664997053,0.30825473165103207,89.96666666666667,94.05,90.82452442966768,92.03288297773973
Kelarutan,PVA,2.0,18,95.9087037037037,0.9035343737571017,0.21296509423959573,94.5,97.33333333333331,95.49129211899408,96.3261152884133
Kelarutan,PVA,3.0,18,97.3187037037037,0.45347372233484745,0.10688478138429207,96.5,97.8,97.10920953219049,97.52819787521692
Kelarutan,Plasticizer,Gliserol,36,93.38430555555556,4.064784563982115,0.6774640939970191,85.29999999999998,97.8,92.0564759313214,94.71213517978971
Kelarutan,Plasticizer,Sorbitol,36,93.12106481481482,4.2415113761970655,0.7069185626995109,84.9,97.33333333333331,91.73550443192377,94.50662519770586
Kelarutan,Formulation,A,6,85.35000000000001,0.4415880433163843,0.1802775637731962,84.9,86.09999999999998,84.99665597500454,85.70334402499547
Kelarutan,Formulation,B,6,92.825,1.0985217339679694,0.44846961992982204,91.7,94.05,91.94599954493755,93.70400045506246
Kelarutan,Formulation,C,6,96.17777777777776,1.1708812762030767,0.47801027934605234,95.03333333333332,97.33333333333331,95.2408776302595,97.11467792529602
Kelarutan,Formulation,D,6,97.39166666666667,0.4045573712919658,0.16515985522449933,97.0,97.8,97.06795335042665,97.71537998290668
Kelarutan,Formulation,E,6,93.19166666666666,2.460775622982857,1.004607441297899,90.75,95.55,91.22263608172278,95.16069725161054
Kelarutan,Formulation,F,6,90.59444444444443,0.5615125076935463,0.22923652133996703,89.96666666666667,91.16666666666666,90.14514086261809,91.04374802627078
Kelarutan,Formulation,G,6,95.39166666666667,0.9421606374003595,0.38463546956104033,94.5,96.35,94.63778114632703,96.1455521870063
Kelarutan,Formulation,H,6,97.40333333333332,0.29131884021921256,0.1189304184994088,97.1,97.72,97.17022971307448,97.63643695359217
Kelarutan,Formulation,I,6,86.52222222222223,0.32087842395986016,0.1309980680283516,86.19999999999999,86.9,86.26546600888666,86.77897843555779
Kelarutan,Formulation,J,6,90.86666666666667,0.8598934042465157,0.35105001226479154,90.05,91.725,90.17860864262768,91.55472469070567
Kelarutan,Formulation,K,6,96.15666666666668,0.18864428606948339,0.07701370729364253,95.98,96.42,96.00571980037114,96.30761353296222
Kelarutan,Formulation,L,6,97.16111111111111,0.637065029531409,0.26008070922050813,96.5,97.76666666666668,96.65135292103892,97.6708693011833
Kelarutan,Formulation x Plasticizer,A_Gliserol,3,85.66666666666667,0.4041451884327344,0.23333333333333126,85.29999999999998,86.09999999999998,85.20933333333335,86.124
Kelarutan,Formulation x Plasticizer,A_Sorbitol,3,85.03333333333335,0.15275252316520613,0.08819171036882631,84.9,85.20000000000003,84.86047758101044,85.20618908565625
Kelarutan,Formulation x Plasticizer,B_Gliserol,3,91.83333333333333,0.1527525231651957,0.08819171036882029,91.7,92.0,91.66047758101044,92.00618908565622
Kelarutan,Formulation x Plasticizer,B_Sorbitol,3,93.81666666666666,0.20816659994661169,0.1201850425154654,93.65,94.05,93.58110398333635,94.05222934999698
Kelarutan,Formulation x Plasticizer,C_Gliserol,3,95.1111111111111,0.08388704928080251,0.04843221048379474,95.03333333333332,95.2,95.01618397856286,95.20603824365934
Kelarutan,Formulation x Plasticizer,C_Sorbitol,3,97.24444444444443,0.08388704928078322,0.0484322104837836,97.16666666666666,97.33333333333331,97.1495173118962,97.33937157699265
Kelarutan,Formulation x Plasticizer,D_Gliserol,3,97.75833333333333,0.07216878364870116,0.04166666666666548,97.675,97.8,97.67666666666666,97.83999999999999
Kelarutan,Formulation x Plasticizer,D_Sorbitol,3,97.02499999999999,0.02500000000000213,0.014433756729741875,97.0,97.05,96.9967098368097,97.05329016319028
Kelarutan,Formulation x Plasticizer,E_Gliserol,3,95.43333333333334,0.10408329997330443,0.06009252125773188,95.35,95.55,95.31555199166819,95.55111467499849
