Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
Solubilitas,CMC,1,18,0.5648996252346924,0.0998080524425981,0.023524983566394563,0.3697478991596642,0.6886792452830196,0.5187906574445591,0.6110085930248257
Solubilitas,CMC,2,15,0.5162916760917563,0.10558642991813846,0.027262298977229787,0.3333333333333327,0.6529411764705899,0.4628575700963859,0.5697257820871267
Solubilitas,CMC,3,18,0.46380138525751047,0.12628329349126105,0.029765257726080567,0.3157894736842111,0.6648936170212769,0.40546148011439254,0.5221412904006284
Solubilitas,PVA,1,15,0.6047960909862036,0.10753453221819466,0.027765296828218187,0.3933333333333327,0.6886792452830196,0.5503761092028959,0.6592160727695112
Solubilitas,PVA,2,18,0.5160428425773316,0.08614454394146383,0.020304463727743867,0.3383084577114428,0.6041666666666686,0.4762460936709536,0.5558395914837095
Solubilitas,PVA,3,18,0.4389044888361653,0.10155156006370795,0.02393593225370696,0.3157894736842111,0.5543478260869573,0.39199006161889965,0.4858189160534309
Solubilitas,Plasticizer,Gliserol,27,0.5822669758740954,0.06402670896108335,0.0123219458846691,0.5031055900621114,0.6886792452830196,0.5581159619401439,0.6064179898080468
Solubilitas,Plasticizer,Sorbitol,24,0.43915770756814254,0.11827690206443578,0.02414317153458383,0.3157894736842111,0.6351351351351363,0.3918370913603582,0.48647832377592687
Solubilitas,Formulation,B,6,0.6553789552549373,0.03474005709087208,0.01418256891796553,0.617283950617285,0.6886792452830196,0.6275811201757249,0.6831767903341497
Solubilitas,Formulation,C,6,0.5849711826318212,0.01322083851139298,0.005397384720774988,0.5689655172413809,0.6041666666666686,0.5743923085791023,0.5955500566845402
Solubilitas,Formulation,D,6,0.4543487378173185,0.08668845626294559,0.0353904140722989,0.3697478991596642,0.5384615384615409,0.38498352623561266,0.5237139493990244
Solubilitas,Formulation,F,3,0.6476273349576526,0.004601921741888093,0.002656920756468682,0.6449704142011832,0.6529411764705899,0.642419770274974,0.6528348996403311
Solubilitas,Formulation,G,6,0.5389031068680826,0.01761241571101889,0.007190238604962345,0.5214285714285702,0.562500000000001,0.5248102392023565,0.5529959745338088
Solubilitas,Formulation,H,6,0.428012415882482,0.10287019381567486,0.041996580764935516,0.3333333333333327,0.5263157894736837,0.34569911758320837,0.5103257141817557
Solubilitas,Formulation,J,6,0.5327976047317454,0.14412269079279683,0.05883784213321124,0.3933333333333327,0.6648936170212769,0.41747543415065136,0.6481197753128395
Solubilitas,Formulation,K,6,0.42425423823209085,0.09114486170031984,0.0372097339737208,0.3383084577114428,0.5096774193548411,0.35132315964359806,0.49718531682058364
Solubilitas,Formulation,L,6,0.43435231280869524,0.1285014369805036,0.05246049196944042,0.3157894736842111,0.5543478260869573,0.331529748548592,0.5371748770687985
Solubilitas,Formulation x Plasticizer,B_Gliserol,3,0.6865338270734135,0.003715973342517698,0.0021454182096040664,0.6822429906542054,0.6886792452830196,0.6823288073825895,0.6907388467642375
Solubilitas,Formulation x Plasticizer,B_Sorbitol,3,0.6242240834364611,0.00956516307928238,0.005522449478666353,0.617283950617285,0.6351351351351363,0.613400082458275,0.6350480844146471
Solubilitas,Formulation x Plasticizer,C_Gliserol,3,0.5739956532455016,0.0049913876440366945,0.0028817789999143577,0.5689655172413809,0.5789473684210523,0.5683473664056695,0.5796439400853337
Solubilitas,Formulation x Plasticizer,C_Sorbitol,3,0.595946712018141,0.007118689543580891,0.004109977324263802,0.5918367346938772,0.6041666666666686,0.5878911564625839,0.604002267573698
Solubilitas,Formulation x Plasticizer,D_Gliserol,3,0.5333295318469521,0.0062877262757000596,0.0036302204578661126,0.5263157894736837,0.5384615384615409,0.5262142997495345,0.5404447639443697
