Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
UTS,CMC,1,18,1.7659173662066814,1.4620388012301504,0.3446058502358968,0.180722891566265,4.761904761904762,1.0904898997443238,2.441344832669039
UTS,CMC,2,15,1.642595570068128,0.4781017779993743,0.12344534826558215,0.8333333333333334,2.142857142857143,1.400642687467587,1.884548452668669
UTS,CMC,3,18,1.3173629166596994,0.703501323512403,0.16581685214311045,0.4761904761904761,2.6315789473684212,0.992361886459203,1.6423639468601958
UTS,PVA,1,15,1.0891469593138925,0.6931422273335287,0.17896855353439148,0.180722891566265,2.1052631578947367,0.7383685943864853,1.4399253242412997
UTS,PVA,2,18,1.2167540841524762,0.5747663405149815,0.1354737256586399,0.5050505050505051,2.6086956521739126,0.951225581861542,1.4822825864434104
UTS,PVA,3,18,2.327733374342434,1.1240527072677235,0.26494176390670154,0.9259259259259258,4.761904761904762,1.8084475170852992,2.8470192315995693
UTS,Plasticizer,Gliserol,27,1.4312556683631346,0.8250532735229429,0.15878157652141767,0.2083333333333333,3.3333333333333335,1.1200437783811559,1.7424675583451132
UTS,Plasticizer,Sorbitol,24,1.728919816533839,1.1618305145132173,0.2371576606793857,0.180722891566265,4.761904761904762,1.2640908016022432,2.193748831465435
UTS,Formulation,B,6,0.5884789156626505,0.5431811290256815,0.2217527673369655,0.180722891566265,1.5416666666666667,0.15384349168219819,1.0231143396431028
UTS,Formulation,C,6,1.0902255639097744,0.24440909491999802,0.09977959517490922,0.9523809523809524,1.5789473684210529,0.8946575573669524,1.2857935704525965
UTS,Formulation,D,6,3.619047619047619,0.7619047619047618,0.3110463165438956,2.6666666666666665,4.761904761904762,3.0093968386215835,4.228698399473655
UTS,Formulation,F,3,2.1052631578947367,0.0,0.0,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367
UTS,Formulation,G,6,1.2930186823992134,0.48653940001410834,0.19862887829907336,0.8333333333333334,1.7699115044247786,0.9037060809330295,1.6823312838653972
UTS,Formulation,H,6,1.760838663823738,0.33383796512106373,0.136288778552609,1.4285714285714284,2.142857142857143,1.4937126578606246,2.0279646697868516
UTS,Formulation,J,6,1.081756903674712,0.36033383508676853,0.1471056721704608,0.4761904761904761,1.36986301369863,0.7934297862206088,1.370084021128815
UTS,Formulation,K,6,1.2670180061484408,0.8930467641254239,0.3645848147584891,0.5050505050505051,2.6086956521739126,0.5524317692218023,1.9816042430750795
UTS,Formulation,L,6,1.6033138401559455,0.7665244320831853,0.3129322889967439,0.9259259259259258,2.6315789473684212,0.9899665537223274,2.2166611265895635
UTS,Formulation x Plasticizer,B_Gliserol,3,0.8958333333333334,0.6676425149567529,0.38546358573272005,0.2083333333333333,1.5416666666666667,0.1403247052972021,1.6513419613694647
UTS,Formulation x Plasticizer,B_Sorbitol,3,0.2811244979919678,0.09201959226818954,0.05312753636675884,0.180722891566265,0.36144578313253,0.1769945267131205,0.38525446927081514
UTS,Formulation x Plasticizer,C_Gliserol,3,0.9523809523809524,0.0,0.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524
UTS,Formulation x Plasticizer,C_Sorbitol,3,1.2280701754385965,0.30386856273138213,0.17543859649122817,1.0526315789473684,1.5789473684210529,0.8842105263157893,1.5719298245614037
UTS,Formulation x Plasticizer,D_Gliserol,3,3.111111111111111,0.3849001794597507,0.22222222222222235,2.6666666666666665,3.3333333333333335,2.6755555555555555,3.546666666666667
UTS,Formulation x Plasticizer,D_Sorbitol,3,4.1269841269841265,0.7273929674533082,0.4199605255658082,3.333333333333333,4.761904761904762,3.3038614968751423,4.950106757093111
UTS,Formulation x Plasticizer,F_Gliserol,3,2.1052631578947367,0.0,0.0,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367
UTS,Formulation x Plasticizer,G_Gliserol,3,1.1111111111111112,0.4811252243246882,0.27777777777777785,0.8333333333333334,1.6666666666666667,0.5666666666666665,1.655555555555556
UTS,Formulation x Plasticizer,G_Sorbitol,3,1.4749262536873156,0.5109294417607307,0.2949852507374631,0.8849557522123893,1.7699115044247786,0.8967551622418879,2.053097345132743
UTS,Formulation x Plasticizer,H_Gliserol,3,1.9047619047619044,0.41239304942116134,0.23809523809523817,1.4285714285714284,2.142857142857143,1.4380952380952376,2.371428571428571
UTS,Formulation x Plasticizer,H_Sorbitol,3,1.6169154228855722,0.21542920492150236,0.12437810945273645,1.4925373134328357,1.8656716417910448,1.3731343283582087,1.8606965174129357
UTS,Formulation x Plasticizer,J_Gliserol,3,1.36986301369863,0.0,0.0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863
UTS,Formulation x Plasticizer,J_Sorbitol,3,0.7936507936507936,0.2749286996141076,0.1587301587301588,0.4761904761904761,0.9523809523809524,0.4825396825396824,1.1047619047619048
UTS,Formulation x Plasticizer,K_Gliserol,3,0.5050505050505051,0.0,0.0,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.5050505050505051
UTS,Formulation x Plasticizer,K_Sorbitol,3,2.0289855072463765,0.5020437123388051,0.2898550724637682,1.7391304347826084,2.6086956521739126,1.4608695652173909,2.597101449275362
UTS,Formulation x Plasticizer,L_Gliserol,3,0.9259259259259259,0.0,0.0,0.9259259259259258,0.9259259259259258,0.9259259259259259,0.9259259259259259
UTS,Formulation x Plasticizer,L_Sorbitol,3,2.280701754385965,0.303868562731382,0.17543859649122812,2.1052631578947367,2.6315789473684212,1.9368421052631577,2.624561403508772
UTS,CMC x PVA x Plasticizer,1_1_Gliserol,3,0.8958333333333334,0.6676425149567529,0.38546358573272005,0.2083333333333333,1.5416666666666667,0.1403247052972021,1.6513419613694647
UTS,CMC x PVA x Plasticizer,1_1_Sorbitol,3,0.2811244979919678,0.09201959226818954,0.05312753636675884,0.180722891566265,0.36144578313253,0.1769945267131205,0.38525446927081514
UTS,CMC x PVA x Plasticizer,1_2_Gliserol,3,0.9523809523809524,0.0,0.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524
UTS,CMC x PVA x Plasticizer,1_2_Sorbitol,3,1.2280701754385965,0.30386856273138213,0.17543859649122817,1.0526315789473684,1.5789473684210529,0.8842105263157893,1.5719298245614037
UTS,CMC x PVA x Plasticizer,1_3_Gliserol,3,3.111111111111111,0.3849001794597507,0.22222222222222235,2.6666666666666665,3.3333333333333335,2.6755555555555555,3.546666666666667
UTS,CMC x PVA x Plasticizer,1_3_Sorbitol,3,4.1269841269841265,0.7273929674533082,0.4199605255658082,3.333333333333333,4.761904761904762,3.3038614968751423,4.950106757093111
UTS,CMC x PVA x Plasticizer,2_1_Gliserol,3,2.1052631578947367,0.0,0.0,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367
UTS,CMC x PVA x Plasticizer,2_2_Gliserol,3,1.1111111111111112,0.4811252243246882,0.27777777777777785,0.8333333333333334,1.6666666666666667,0.5666666666666665,1.655555555555556
UTS,CMC x PVA x Plasticizer,2_2_Sorbitol,3,1.4749262536873156,0.5109294417607307,0.2949852507374631,0.8849557522123893,1.7699115044247786,0.8967551622418879,2.053097345132743
UTS,CMC x PVA x Plasticizer,2_3_Gliserol,3,1.9047619047619044,0.41239304942116134,0.23809523809523817,1.4285714285714284,2.142857142857143,1.4380952380952376,2.371428571428571
UTS,CMC x PVA x Plasticizer,2_3_Sorbitol,3,1.6169154228855722,0.21542920492150236,0.12437810945273645,1.4925373134328357,1.8656716417910448,1.3731343283582087,1.8606965174129357
UTS,CMC x PVA x Plasticizer,3_1_Gliserol,3,1.36986301369863,0.0,0.0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863
UTS,CMC x PVA x Plasticizer,3_1_Sorbitol,3,0.7936507936507936,0.2749286996141076,0.1587301587301588,0.4761904761904761,0.9523809523809524,0.4825396825396824,1.1047619047619048
UTS,CMC x PVA x Plasticizer,3_2_Gliserol,3,0.5050505050505051,0.0,0.0,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.5050505050505051
UTS,CMC x PVA x Plasticizer,3_2_Sorbitol,3,2.0289855072463765,0.5020437123388051,0.2898550724637682,1.7391304347826084,2.6086956521739126,1.4608695652173909,2.597101449275362
UTS,CMC x PVA x Plasticizer,3_3_Gliserol,3,0.9259259259259259,0.0,0.0,0.9259259259259258,0.9259259259259258,0.9259259259259259,0.9259259259259259
UTS,CMC x PVA x Plasticizer,3_3_Sorbitol,3,2.280701754385965,0.303868562731382,0.17543859649122812,2.1052631578947367,2.6315789473684212,1.9368421052631577,2.624561403508772
