Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
WVTR,CMC,1,18,11.138567628845607,2.4434351892866104,0.5759231972447992,5.774333878439597,14.460818293184207,10.0097581622458,12.267377095445413
WVTR,CMC,2,15,10.499624154625648,2.615078847373754,0.675210454993189,5.508883159311765,13.772207898272072,9.176211662838998,11.823036646412298
WVTR,CMC,3,18,9.104233307814745,2.806024748247242,0.6613863758876333,4.820272764394736,14.435834696096428,7.807916011074984,10.400550604554507
WVTR,PVA,1,15,12.172771732092345,2.364261815960654,0.6104497759526478,7.21791734804565,14.460818293184207,10.976290171225155,13.369253292959534
WVTR,PVA,2,18,10.49488163028117,1.9957216635766315,0.4703961072253113,5.774333878439597,12.992251226485246,9.57290526011956,11.416858000442781
WVTR,PVA,3,18,8.353629658490265,2.4571069771774683,0.5791456685543225,4.820272764394736,11.361457051120356,7.218504148123793,9.488755168856738
WVTR,Plasticizer,Gliserol,27,11.853789576270433,1.4924659998661165,0.2872252155930221,9.383292552459858,14.460818293184207,11.29082815370811,12.416750998832756
WVTR,Plasticizer,Sorbitol,24,8.408852525832055,2.64698978770701,0.5403145278533453,4.820272764394736,12.992251226485246,7.349836051239498,9.467869000424612
WVTR,Formulation,B,6,13.084009159273267,1.1755737526087597,0.47992597481671445,11.548667756874066,14.460818293184207,12.143354248632507,14.024664069914026
WVTR,Formulation,C,6,11.669579644474405,0.819156386620601,0.3344191944604156,10.82687602207104,12.992251226485246,11.01411802333199,12.32504126561682
WVTR,Formulation,D,6,8.662114082789145,2.4508854602101176,1.0005697992535187,5.774333878439597,11.361457051120356,6.700997276252249,10.623230889326042
WVTR,Formulation,F,3,13.25223678374923,0.850741311085372,0.4911757249658747,12.27045949168222,13.772207898272072,12.289532362816116,14.214941204682345
WVTR,Formulation,G,6,11.371905355035679,0.8122350150460346,0.3315935563474337,10.105084287268014,12.27045949168222,10.72198198459471,12.021828725476649
WVTR,Formulation,H,6,8.251036639653828,2.5830997831344766,1.0545460705622254,5.508883159311765,11.017766318618635,6.184126341351866,10.317946937955789
WVTR,Formulation,J,6,10.721801779082982,3.1237524285132645,1.275266588772881,7.21791734804565,14.435834696096428,8.222279265088137,13.221324293077828
WVTR,Formulation,K,6,8.443159891333426,2.1402701218546323,0.8737616183780375,5.774333878439597,10.82687602206591,6.730587119312473,10.15573266335438
WVTR,Formulation,L,6,8.147738253027823,2.7695008315634775,1.1306439799240369,4.820272764394736,11.361457051120356,5.9316760523767105,10.363800453678936
WVTR,Formulation x Plasticizer,B_Gliserol,3,13.948082817029011,0.8285064467432088,0.47833842005253197,12.992251226480118,14.460818293184207,13.010539513726048,14.885626120331974
WVTR,Formulation x Plasticizer,B_Sorbitol,3,12.219935501517524,0.7270772511771865,0.41977824668880176,11.548667756874066,12.992251226485246,11.397170138007473,13.042700865027575
WVTR,Formulation x Plasticizer,C_Gliserol,3,11.967458678159888,0.8924190649098579,0.5152383873556606,11.361457051120356,12.992251226485246,10.957591438942792,12.977325917376984
WVTR,Formulation x Plasticizer,C_Sorbitol,3,11.371700610788922,0.7841781817995981,0.45274548435462925,10.82687602207104,12.270459491677093,10.484319461453849,12.259081760123996
WVTR,Formulation x Plasticizer,D_Gliserol,3,10.82810255233567,0.6493053123284709,0.37487659685909674,10.105084287268014,11.361457051120356,10.09334442249184,11.5628606821795
WVTR,Formulation x Plasticizer,D_Sorbitol,3,6.496125613242623,0.7217917348030264,0.4167266523873743,5.774333878439597,7.21791734804565,5.67934137456337,7.3129098519218765
WVTR,Formulation x Plasticizer,F_Gliserol,3,13.25223678374923,0.850741311085372,0.4911757249658747,12.27045949168222,13.772207898272072,12.289532362816116,14.214941204682345
WVTR,Formulation x Plasticizer,G_Gliserol,3,11.73874101164884,0.7933264365775071,0.4580272317132703,10.82687602207104,12.27045949168222,10.84100763749083,12.63647438580685
WVTR,Formulation x Plasticizer,G_Sorbitol,3,11.005069698422522,0.7850109982069625,0.45322631113160666,10.105084287268014,11.548667756879194,10.116746128604573,11.893393268240471
WVTR,Formulation x Plasticizer,H_Gliserol,3,10.575625728976327,0.45700336857477397,0.26385101786721155,10.105084287262883,11.017766318618635,10.058477733956593,11.09277372399606
WVTR,Formulation x Plasticizer,H_Sorbitol,3,5.9264475503313285,0.510897095894217,0.29496657584272423,5.508883159311765,6.496125613242623,5.348313061679589,6.504582038983068
WVTR,Formulation x Plasticizer,J_Gliserol,3,13.50389447531387,0.8083752018146644,0.46671564037391455,12.992251226485246,14.435834696096428,12.589131820180999,14.418657130446743
WVTR,Formulation x Plasticizer,J_Sorbitol,3,7.939709082852095,0.7217917348055909,0.4167266523888549,7.21791734804565,8.661500817656831,7.122924844169939,8.75649332153425
WVTR,Formulation x Plasticizer,K_Gliserol,3,10.271398385191077,0.7771514948444525,0.4486886247495647,9.383292552459858,10.82687602206591,9.39196868068193,11.150828089700223
WVTR,Formulation x Plasticizer,K_Sorbitol,3,6.614921397475777,0.9058466034884023,0.5229907803685373,5.774333878439597,7.574304700745111,5.589859467953444,7.6399833269981094
WVTR,Formulation x Plasticizer,L_Gliserol,3,10.598565754029993,0.6701151937881055,0.38689118752162094,10.105084287268014,11.361457051120356,9.840259026487615,11.35687248157237
WVTR,Formulation x Plasticizer,L_Sorbitol,3,5.6969107520256514,0.8406048109103809,0.48532341386120287,4.820272764394736,6.496125613242623,4.745676860857694,6.648144643193609
