Response,Factor,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
FTL,CMC,1.0,2.0,-1.2092,0.5712,-4.0683,1.65,False
FTL,CMC,1.0,3.0,0.2594,0.9743,-2.5997,3.1186,False
FTL,CMC,2.0,3.0,1.4686,0.4395,-1.3905,4.3277,False
FTL,PVA,0.0,1.0,-3.0741,0.0002,-4.8961,-1.252,True
FTL,PVA,0.0,2.0,-7.5541,0.0,-9.3761,-5.732,True
FTL,PVA,0.0,3.0,-8.9641,0.0,-10.7861,-7.142,True
FTL,PVA,1.0,2.0,-4.48,0.0,-6.3021,-2.6579,True
FTL,PVA,1.0,3.0,-5.89,0.0,-7.7121,-4.0679,True
FTL,PVA,2.0,3.0,-1.41,0.1844,-3.2321,0.4121,False
FTL,Plasticizer,Gliserol,Sorbitol,0.2632,0.7888,-1.6896,2.216,False
