FTL Kimia Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kode,Ulangan,CMC (g),PVA (g),Total Polimer (Wi),Berat wadah (W0),Berat Wadah + Endapan (W1),Berat Endapan (Wr),Fraksi Tak Larut (%),Rata-rata FTL,STDEV,Kelarutan (%),Rata-rata Kelarutan,STDEV,Membentuk Lembaran Biofilm,
,,,,,,,,,,,,,,Ya,Tidak
A,A1,1,0,1,1.715,1.865,0.1499999999999999,14.999999999999991,14.966666666666654,0.15275252316521137,85.00000000000001,85.03333333333335,0.1527525231652077,,ü
,A2,1,0,1,1.87,2.018,0.1479999999999997,14.799999999999969,,,85.20000000000003,,,,ü
,A3,1,0,1,1.093,1.244,0.15100000000000002,15.100000000000001,,,84.9,,,,ü
B,B1,1,1,2,1.75,1.877,0.127,6.35,6.183333333333333,0.20816659994661352,93.65,93.81666666666666,0.2081665999466094,ü,
,B2,1,1,2,1.453,1.572,0.119,5.949999999999999,,,94.05,,,ü,
,B3,1,1,2,1.762,1.887,0.125,6.25,,,93.75,,,ü,
C,C1,1,2,3,1.731,1.814,0.08299999999999996,2.7666666666666657,2.7555555555555578,0.08388704928078769,97.23333333333333,97.24444444444443,0.08388704928078793,ü,
,C2,1,2,3,1.281,1.366,0.08500000000000019,2.8333333333333393,,,97.16666666666666,,,ü,
,C3,1,2,3,1.674,1.754,0.08000000000000007,2.6666666666666687,,,97.33333333333333,,,ü,
D,D1,1,3,4,1.712,1.83,0.1180000000000001,2.950000000000003,2.975,0.024999999999997247,97.05,97.02500000000002,0.02499999999999858,ü,
,D2,1,3,4,1.653,1.773,0.11999999999999988,2.9999999999999973,,,97,,,ü,
,D3,1,3,4,1.436,1.555,0.119,2.9749999999999996,,,97.025,,,ü,
E,E1,2,0,2,1.749,1.931,0.18199999999999994,9.099999999999998,9.049999999999999,0.22912878474778361,90.9,90.95,0.22912878474777898,,ü
,E2,2,0,2,1.436,1.612,0.17600000000000016,8.800000000000008,,,91.19999999999999,,,,ü
,E3,2,0,2,1.328,1.513,0.18499999999999983,9.249999999999991,,,90.75000000000001,,,,ü
F,F1,2,1,3,1.701,1.969,0.268,8.933333333333334,8.9,0.05773502691895827,91.06666666666666,91.10000000000001,0.05773502691895519,,ü
,F2,2,1,3,1.895,2.16,0.2650000000000001,8.833333333333337,,,91.16666666666666,,,,ü
,F3,2,1,3,1.867,2.135,0.2679999999999998,8.933333333333326,,,91.06666666666668,,,,ü
G,G1,2,2,4,1.755,1.906,0.15100000000000002,3.7750000000000004,3.7500000000000013,0.09013878188659837,96.225,96.25,0.09013878188659855,ü,
,G2,2,2,4,1.328,1.481,0.15300000000000002,3.8250000000000006,,,96.175,,,ü,
,G3,2,2,4,1.894,2.04,0.14600000000000013,3.650000000000003,,,96.35,,,ü,
H,H1,2,3,5,1.761,1.904,0.14300000000000002,2.8600000000000003,2.8600000000000017,0.039999999999997815,97.14,97.14,0.03999999999999915,ü,
,H2,2,3,5,1.349,1.494,0.14500000000000002,2.9000000000000004,,,97.1,,,ü,
,H3,2,3,5,1.894,2.035,0.14100000000000024,2.8200000000000047,,,97.17999999999999,,,ü,
I,I1,3,0,3,1.741,2.154,0.4129999999999998,13.76666666666666,13.766666666666666,0.03333333333333677,86.23333333333333,86.23333333333333,0.033333333333338544,,ü
,I2,3,0,3,1.376,1.79,0.41400000000000015,13.800000000000004,,,86.19999999999999,,,,ü
,I3,3,0,3,1.239,1.651,0.4119999999999999,13.73333333333333,,,86.26666666666667,,,,ü
J,J1,3,1,4,1.737,2.135,0.3979999999999997,9.949999999999992,9.916666666666663,0.05773502691896083,90.05000000000001,90.08333333333333,0.0577350269189634,ü,
,J2,3,1,4,1.435,1.829,0.3939999999999999,9.849999999999998,,,90.15,,,ü,
,J3,3,1,4,1.489,1.887,0.3979999999999999,9.949999999999998,,,90.05,,,ü,
K,K1,3,2,5,1.741,1.942,0.20099999999999985,4.019999999999997,4.006666666666663,0.023094010767585053,95.98,95.99333333333334,0.02309401076758864,ü,
