Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Kode Formulasi,Ulangan,Ketebalan rata-rata (mm),Absorbansi (Abs600),Opasitas (Abs600/x),Rata-rata Opasitas (A/mm),STDEV,Keterangan
B,1,0.083,0.124,1.4939759036144578,1.4939759036144578,0.024096385542168752,Semi-transaparan
,2,0.083,0.126,1.5180722891566265,,,
,3,0.083,0.122,1.469879518072289,,,
C,1,0.19,0.31,1.631578947368421,1.6315789473684212,0.026315789473684292,Semi-transaparan
,2,0.19,0.315,1.6578947368421053,,,
,3,0.19,0.305,1.6052631578947367,,,
D,1,0.21,0.38,1.8095238095238095,1.8095238095238095,0.023809523809523836,Semi-transaparan
,2,0.21,0.385,1.8333333333333335,,,
,3,0.21,0.375,1.7857142857142858,,,
G,1,0.113,0.21,1.8584070796460175,1.8584070796460175,0.017699115044247815,Semi-transaparan
,2,0.113,0.212,1.8761061946902653,,,
,3,0.113,0.208,1.8407079646017697,,,
H,1,0.268,0.52,1.9402985074626866,1.9402985074626866,0.018656716417910446,Semi-transaparan
,2,0.268,0.525,1.958955223880597,,,
,3,0.268,0.515,1.921641791044776,,,
J,1,0.14,0.3,2.142857142857143,2.142857142857143,0.014285714285714457,Semi-transaparan
,2,0.14,0.302,2.157142857142857,,,
,3,0.14,0.298,2.128571428571428,,,
K,1,0.115,0.27,2.347826086956522,2.347826086956522,0.04347826086956519,Semi-transaparan
,2,0.115,0.265,2.3043478260869565,,,
,3,0.115,0.275,2.391304347826087,,,
L,1,0.19,0.48,2.526315789473684,2.5280701754385966,0.018483603075180197,Buram
,2,0.19,0.484,2.5473684210526315,,,
,3,0.19,0.477,2.5105263157894737,,,
,,,,,,,
Gliserol,,,,,,,
Kode Formulasi,Ulangan,Ketebalan rata-rata (mm),Absorbansi (Abs600),Opasitas (Abs600/x),Rata-rata Opasitas (A/mm),STDEV,Keterangan
B,1,0.048,0.065,1.3541666666666667,1.3541666666666667,0.04166666666666674,Semi-transparan
,2,0.048,0.067,1.3958333333333335,,,
,3,0.048,0.063,1.3125,,,
C,1,0.105,0.16,1.523809523809524,1.5238095238095237,0.01904761904761909,Semi-transparan
,2,0.105,0.162,1.542857142857143,,,
,3,0.105,0.158,1.5047619047619047,,,
D,1,0.15,0.142,0.9466666666666667,0.9488888888888889,0.016777409856157166,Transparan
,2,0.15,0.145,0.9666666666666667,,,
,3,0.15,0.14,0.9333333333333335,,,
F,1,0.098,0.18,1.8367346938775508,1.8367346938775508,0.020408163265306145,Semi-transparan
,2,0.098,0.182,1.857142857142857,,,
,3,0.098,0.178,1.8163265306122447,,,
G,1,0.12,0.23,1.9166666666666667,1.9166666666666667,0.04166666666666652,Semi-transparan
,2,0.12,0.235,1.9583333333333333,,,
,3,0.12,0.225,1.8750000000000002,,,
H,1,0.14,0.285,2.035714285714285,2.035714285714285,0.021428571428571574,Semi-transparan
,2,0.14,0.288,2.057142857142857,,,
,3,0.14,0.282,2.014285714285714,,,
J,1,0.073,0.165,2.26027397260274,2.26027397260274,0.04109589041095907,Semi-transparan
,2,0.073,0.168,2.301369863013699,,,
,3,0.073,0.162,2.219178082191781,,,
K,1,0.198,0.48,2.424242424242424,2.4242424242424243,0.025252525252525304,Semi-transparan
,2,0.198,0.485,2.4494949494949494,,,
,3,0.198,0.475,2.398989898989899,,,
L,1,0.108,0.28,2.592592592592593,2.592592592592593,0.04629629629629606,Buram/keruh
,2,0.108,0.285,2.638888888888889,,,
,3,0.108,0.275,2.5462962962962967,,,
