Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variasi Biofilm,U,Berat Wadah,Wi (g),Wadah+sampel,Wf (g),Solubilitas (%),Rata-rata,STDEV
Bs,1,1.73,0.079,1.76,0.030000000000000027,0.6202531645569617,0.6242240834364611,0.9565163079282365
,2,1.756,0.081,1.787,0.030999999999999917,0.617283950617285,,
,3,1.729,0.074,1.756,0.026999999999999913,0.6351351351351363,,
Cs,1,1.754,0.049,1.774,0.020000000000000018,0.5918367346938772,0.595946712018141,0.71186895435809
,2,1.732,0.048,1.751,0.018999999999999906,0.6041666666666686,,
,3,1.645,0.049,1.665,0.020000000000000018,0.5918367346938772,,
Ds,1,1.717,0.118,1.79,0.07299999999999995,0.3813559322033902,0.37536794378768495,0.581275707037808
,2,1.756,0.12,1.831,0.07499999999999996,0.37500000000000033,,
,3,1.709,0.119,1.784,0.07499999999999996,0.3697478991596642,,
Gs,1,1.719,0.138,1.785,0.06599999999999984,0.5217391304347838,0.5240510697032438,0.42761685098226765
,2,1.675,0.138,1.74,0.06499999999999995,0.5289855072463773,,
,3,1.654,0.14,1.721,0.06700000000000017,0.5214285714285702,,
Hs,1,1.714,0.128,1.799,0.08499999999999996,0.3359375000000003,0.3342013888888886,0.15035163260151418
,2,1.654,0.129,1.74,0.08600000000000008,0.33333333333333276,,
,3,1.732,0.126,1.816,0.08400000000000007,0.33333333333333276,,
Js,1,1.778,0.305,1.96,0.18199999999999994,0.40327868852459037,0.40129893002328115,0.7183329074008588
,2,1.765,0.3,1.947,0.18200000000000016,0.39333333333333276,,
,3,1.789,0.302,1.968,0.17900000000000005,0.40728476821192033,,
Ks,1,1.704,0.2,1.835,0.131,0.34500000000000003,0.3411028192371474,0.3479416941422103
,2,1.703,0.201,1.836,0.133,0.3383084577114428,,
,3,1.767,0.2,1.899,0.13200000000000012,0.33999999999999947,,
Ls,1,1.733,0.192,1.864,0.131,0.3177083333333333,0.3170687134502926,0.11078541349578104
,2,1.741,0.192,1.872,0.131,0.3177083333333333,,
,3,1.689,0.19,1.819,0.1299999999999999,0.3157894736842111,,
,,,,,,,,
Gliseol,,,,,,,,
Variasi Biofilm,U,Berat Wadah,Wi (g),Wadah+sampel,Wf (g),Solubilitas (%),Rata-rata,STDEV
Bs,1,2.038,0.106,2.071,0.03300000000000036,0.6886792452830155,0.6865338270734135,0.3715973342517698
,2,1.789,0.107,1.823,0.03400000000000003,0.6822429906542054,,
,3,2.073,0.106,2.106,0.03299999999999992,0.6886792452830196,,
Cs,1,1.71,0.057,1.734,0.02400000000000002,0.5789473684210523,0.5739956532455016,0.49913876440366944
,2,2.034,0.054,2.057,0.02300000000000013,0.5740740740740716,,
,3,2.053,0.058,2.078,0.02499999999999991,0.5689655172413809,,
Ds,1,2.026,0.076,2.062,0.03600000000000003,0.5263157894736837,0.5333295318469521,0.6287726275700016
,2,1.787,0.071,1.82,0.03300000000000014,0.5352112676056318,,
,3,1.741,0.078,1.777,0.03599999999999981,0.5384615384615409,,
Fg,1,1.739,0.169,1.799,0.05999999999999983,0.6449704142011845,0.6476273349576526,0.4601921741888109
,2,2.435,0.169,2.495,0.06000000000000005,0.6449704142011832,,
,3,2.378,0.17,2.437,0.05899999999999972,0.6529411764705899,,
Gs,1,1.724,0.08,1.759,0.03499999999999992,0.562500000000001,0.5537551440329215,0.977027773314057
,2,2.042,0.081,2.078,0.03600000000000003,0.5555555555555551,,
,3,1.791,0.081,1.828,0.037000000000000144,0.5432098765432081,,
Hs,1,1.731,0.074,1.767,0.03599999999999981,0.513513513513516,0.5218234428760754,0.7204513936797621
,2,1.734,0.078,1.771,0.03699999999999992,0.5256410256410267,,
,3,2.043,0.076,2.079,0.03600000000000003,0.5263157894736837,,
Js,1,1.729,0.188,1.792,0.06299999999999994,0.6648936170212769,0.6642962794402097,0.10346190396787597
,2,1.734,0.187,1.797,0.06299999999999994,0.6631016042780752,,
,3,1.798,0.188,1.861,0.06299999999999994,0.6648936170212769,,
Ks,1,1.751,0.159,1.829,0.07800000000000007,0.5094339622641505,0.5074056572270343,0.37259563947915586
,2,2.083,0.155,2.159,0.07599999999999962,0.5096774193548411,,
,3,2.048,0.161,2.128,0.08000000000000007,0.5031055900621114,,
Ls,1,1.744,0.094,1.786,0.04200000000000004,0.5531914893617017,0.551635912167098,0.37407070139962095
,2,1.743,0.092,1.784,0.040999999999999925,0.5543478260869573,,
,3,2.087,0.095,2.13,0.042999999999999705,0.5473684210526347,,
