Response,Source,df,Sum Sq,Mean Sq,F,p-value,Decision,Type,Effect Size (Partial Eta-Sq),Interpretation
FTL,CMC,2.0,29.48971234567968,14.74485617283984,867.3995987399585,2.105384294814802e-38,Tolak H₀ (Signifikan),2,0.973076048010426,Significant
FTL,PVA,3.0,916.2863574074058,305.4287858024686,17967.540893121448,3.3958055085478996e-73,Tolak H₀ (Signifikan),2,0.9991102975718136,Significant
FTL,Plasticizer,1.0,1.247322376543064,1.247322376543064,73.37656713842652,3.114478011345132e-11,Tolak H₀ (Signifikan),2,0.6045365169600047,Significant
FTL,CMC × PVA,6.0,205.6052629629629,34.26754382716049,2015.8659682441792,6.829340939432934e-56,Tolak H₀ (Signifikan),2,,Significant
FTL,CMC × Plasticizer,2.0,8.474083641975078,4.237041820987539,249.25359273010625,4.441080681117388e-26,Tolak H₀ (Signifikan),2,,Significant
FTL,PVA × Plasticizer,3.0,25.10969429012337,8.369898096707791,492.3782345162343,4.931561870371989e-36,Tolak H₀ (Signifikan),2,,Significant
FTL,CMC × PVA × Plasticizer,6.0,22.170171913580205,3.695028652263367,217.36843904992824,4.8584096603820445e-33,Tolak H₀ (Signifikan),2,,Significant
FTL,Residual,48.0,0.815948148148144,0.0169989197530863,,,,2,,N/A
Kelarutan,CMC,2.0,29.48971234567857,14.744856172839285,867.3995987399246,2.105384294816723e-38,Tolak H₀ (Signifikan),2,0.9730760480104252,Significant
Kelarutan,PVA,3.0,916.2863574074,305.4287858024667,17967.540893121306,3.395805508548535e-73,Tolak H₀ (Signifikan),2,0.9991102975718136,Significant
Kelarutan,Plasticizer,1.0,1.2473223765443118,1.2473223765443118,73.37656713849981,3.1144780112994276e-11,Tolak H₀ (Signifikan),2,0.6045365169602435,Significant
Kelarutan,CMC × PVA,6.0,205.60526296296183,34.26754382716031,2015.8659682441655,6.829340939434048e-56,Tolak H₀ (Signifikan),2,,Significant
Kelarutan,CMC × Plasticizer,2.0,8.474083641976247,4.237041820988123,249.25359273014024,4.4410806811041166e-26,Tolak H₀ (Signifikan),2,,Significant
Kelarutan,PVA × Plasticizer,3.0,25.10969429012383,8.369898096707944,492.3782345162426,4.931561870370032e-36,Tolak H₀ (Signifikan),2,,Significant
Kelarutan,CMC × PVA × Plasticizer,6.0,22.17017191358021,3.695028652263368,217.36843904992793,4.858409660382204e-33,Tolak H₀ (Signifikan),2,,Significant
Kelarutan,Residual,48.0,0.8159481481481452,0.0169989197530863,,,,2,,N/A
Solubilitas,CMC,2.0,0.0921429929367107,0.0460714964683553,14.1728697972015,1.68401705322633e-05,Tolak H₀ (Signifikan),2,0.3864674315257168,Significant
Solubilitas,PVA,2.0,0.1884395754796701,0.094219787739835,28.9846192618,8.153851279304391e-09,Tolak H₀ (Signifikan),2,0.5629762767480675,Significant
Solubilitas,Plasticizer,1.0,0.2212364884322718,0.2212364884322718,68.05847834993484,1.4968403524972428e-10,Tolak H₀ (Signifikan),2,0.6019758919740853,Significant
Solubilitas,Residual,45.0,0.1462807018438396,0.0032506822631964,,,,2,,N/A
Opasitas,CMC,2.0,7.658258394245993,3.8291291971229966,115.02022516037351,2.0457790447138708e-18,Tolak H₀ (Signifikan),2,0.8363877024360532,Significant
Opasitas,PVA,2.0,0.2061526020157232,0.1030763010078616,3.096228604542918,0.0549727042135597,Gagal menolak H₀ (Tidak Signifikan),2,0.1209642503346523,Not Significant
Opasitas,Plasticizer,1.0,0.0781865701655883,0.0781865701655883,2.348585394224932,0.132397652015147,Gagal menolak H₀ (Tidak Signifikan),2,0.0496020181948537,Not Significant
Opasitas,Residual,45.0,1.4980914324439951,0.0332909207209776,,,,2,,N/A
WVTR,CMC,2.0,38.79713169112278,19.39856584556139,11.293446837792096,0.0001060170249822,Tolak H₀ (Signifikan),2,0.3341904391108852,Significant
WVTR,PVA,2.0,104.51004281805034,52.25502140902517,30.421800817071432,4.388618656058949e-09,Tolak H₀ (Signifikan),2,0.5748443996119273,Significant
WVTR,Plasticizer,1.0,128.08046886289742,128.08046886289742,74.56581984351108,4.179867841643781e-11,Tolak H₀ (Signifikan),2,0.6236382600069448,Significant
WVTR,Residual,45.0,77.29575173888402,1.7176833719752005,,,,2,,N/A
UTS,CMC,2.0,1.8260468284519271,0.9130234142259636,1.3146233036247026,0.2786910622544934,Gagal menolak H₀ (Tidak Signifikan),2,0.0552023555805986,Not Significant
UTS,PVA,2.0,15.498724590565164,7.749362295282582,11.157974815186725,0.0001160451734888,Tolak H₀ (Signifikan),2,0.3315105818592556,Significant
UTS,Plasticizer,1.0,0.7567489654476873,0.7567489654476873,1.0896104190436482,0.3021328635810389,Gagal menolak H₀ (Tidak Signifikan),2,0.0236411288604304,Not Significant
UTS,Residual,45.0,31.253100052984887,0.6945133345107752,,,,2,,N/A
Elongasi,CMC,2.0,23916.440960654974,11958.220480327487,3.411474874950078,0.0417381937649931,Tolak H₀ (Signifikan),2,0.1316588457976246,Significant
Elongasi,PVA,2.0,87755.44781936552,43877.72390968276,12.517560864020773,4.760735832576835e-05,Tolak H₀ (Signifikan),2,0.3574652418718888,Significant
Elongasi,Plasticizer,1.0,1183.708510663252,1183.708510663252,0.3376917033797381,0.5640640835455913,Gagal menolak H₀ (Tidak Signifikan),2,0.0074483656024897,Not Significant
Elongasi,Residual,45.0,157738.20454199053,3505.293434266456,,,,2,,N/A
