Formulation,CMC,PVA,Plasticizer,Formable,Solubilitas,Opasitas,WVTR,UTS,Elongasi
A,1,0,Sorbitol,No,NA,NA,NA,NA,NA
A,1,0,Gliserol,No,NA,NA,NA,NA,NA
B,1,1,Sorbitol,Yes,0.6242240834364611,1.4939759036144578,12.219935501517524,0.28112449799196776,29.296296296296294
B,1,1,Gliserol,Yes,0.6865338270734135,1.3541666666666667,13.948082817029011,0.8958333333333335,38.592592592592595
C,1,2,Sorbitol,Yes,0.595946712018141,1.6315789473684212,11.371700610788922,1.2280701754385965,53.555555555555564
C,1,2,Gliserol,Yes,0.5739956532455016,1.5238095238095237,11.967458678159888,0.9523809523809524,87.62962962962963
D,1,3,Sorbitol,Yes,0.3753679437876849,1.8095238095238095,6.496125613242623,4.1269841269841265,199.4074074074074
D,1,3,Gliserol,Yes,0.5333295318469521,0.948888888888889,10.828102552335666,3.111111111111111,305.6296296296296
E,2,0,Sorbitol,No,NA,NA,NA,NA,NA
E,2,0,Gliserol,No,NA,NA,NA,NA,NA
F,2,1,Sorbitol,No,NA,NA,NA,NA,NA
F,2,1,Gliserol,Yes,0.6476273349576526,1.8367346938775508,13.25223678374923,2.1052631578947367,139.4814814814815
G,2,2,Sorbitol,Yes,0.5240510697032438,1.8584070796460175,11.005069698422522,1.4749262536873156,62.55555555555555
G,2,2,Gliserol,Yes,0.5537551440329215,1.9166666666666667,11.73874101164884,1.1111111111111112,50.22222222222222
H,2,3,Sorbitol,Yes,0.33420138888888856,1.9402985074626866,5.9264475503313285,1.6169154228855722,139.8148148148148
H,2,3,Gliserol,Yes,0.5218234428760754,2.035714285714285,10.575625728976325,1.9047619047619044,94.40740740740739
I,3,0,Sorbitol,No,NA,NA,NA,NA,NA
I,3,0,Gliserol,No,NA,NA,NA,NA,NA
J,3,1,Sorbitol,Yes,0.40129893002328104,2.142857142857143,7.939709082852096,0.7936507936507936,72.03703703703705
J,3,1,Gliserol,Yes,0.6642962794402097,2.26027397260274,13.50389447531387,1.36986301369863,63.81481481481481
K,3,2,Sorbitol,Yes,0.3411028192371474,2.347826086956522,6.614921397475778,2.0289855072463765,66.85185185185185
K,3,2,Gliserol,Yes,0.5074056572270343,2.4242424242424243,10.271398385191077,0.5050505050505051,40.11111111111111
L,3,3,Sorbitol,Yes,0.3170687134502926,2.5280701754385966,5.6969107520256514,2.2807017543859645,104.85185185185185
L,3,3,Gliserol,Yes,0.551635912167098,2.592592592592593,10.598565754029993,0.9259259259259259,57.40740740740741
